Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
GFP-1_R1_paired	(1, 0.0)	(2, 0.1049723919011524)	(3, 0.01962476197626278)	(4, 0.0006578457737519117)	(5, 0.11826902683256273)	(6, 0.0002154008285736348)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00020422327206386784)	(15, 8.033868741395028e-05)	(20, 0.00012295312160743696)	(25, 0.008278377790046181)	(30, 0.006889100662186392)	(35, 0.024171698818131748)	(40, 0.00014134951669642846)	(45, 0.00010362526347596487)	(50, 0.024652100882291108)	(55, 0.0001068853841246469)	(60, 8.70917944719345e-05)	(65, 0.0004422120794176568)	(70, 0.0002461391089754941)	(75, 0.01810577861973757)	(80, 0.00011247416237953039)	(85, 0.00017837517263503164)	(90, 0.00011503568574635198)	(95, 0.009274344648218543)	(100, 0.00035698321103068344)	(105, 6.473668145240052e-05)	(110, 4.214870267224638e-05)	(115, 0.0001776765753531712)	(120, 0.0002915479322964225)	(125, 0.000461772803309749)	(130, 0.00035209303005766035)	(135, 1.2341885312867725e-05)	(140, 0.00042800726801982785)	(145, 0.00011876153791627432)	(150, 0.0)
GFP-1_R2_paired	(1, 0.0)	(2, 0.1349829668010737)	(3, 0.08332984810911605)	(4, 0.08396207864919975)	(5, 0.08354175595128038)	(6, 0.0397769649003302)	(7, 0.3082420786752807)	(8, 0.0)	(9, 0.03988757613662476)	(10, 0.01644148702858539)	(15, 0.00838992048938323)	(20, 0.0006224501781376496)	(25, 0.01612036514469021)	(30, 0.00819757337111099)	(35, 0.00037421527731657417)	(40, 0.01604724529585548)	(45, 0.00021563369433425498)	(50, 0.0001513627444030947)	(55, 0.008169163748315333)	(60, 0.000650394069412067)	(65, 9.943367978480221e-05)	(70, 0.008388523294819511)	(75, 0.00044720888896611523)	(80, 0.00032753941882160306)	(85, 0.00017681537616329784)	(90, 0.00055630450366002)	(95, 8.456387555635983e-05)	(100, 0.0003638809190606999)	(105, 0.00019195766792958816)	(110, 0.00012789412584143678)	(115, 0.0005915328041016619)	(120, 0.0005369701688949472)	(125, 0.0002290979496630786)	(130, 0.0007481225009343666)	(135, 0.00014845920034118115)	(140, 9.159256787140375e-05)	(145, 0.0001514892253171963)	(150, 0.0)
GFP-2_R1_paired	(1, 0.0)	(2, 0.10622309901365587)	(3, 0.02029863412147242)	(4, 0.0006514931634541432)	(5, 0.11518993397281863)	(6, 0.00021019458483064417)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0002308838947511474)	(15, 8.077634830664546e-05)	(20, 0.00011973387868886958)	(25, 0.008508368655286086)	(30, 0.0072667899610141876)	(35, 0.024873832901445823)	(40, 0.0001459256646520598)	(45, 0.00011379120456276759)	(50, 0.025133989968744067)	(55, 0.00010366664864422348)	(60, 0.00010278625247739354)	(65, 0.0004454804604159412)	(70, 0.00025531488838067775)	(75, 0.01758921491805333)	(80, 0.000108949025645203)	(85, 0.00017960081803330435)	(90, 0.00011203041222910774)	(95, 0.00894922703582617)	(100, 0.0003728477766524725)	(105, 8.077634830664546e-05)	(110, 5.2163472884672957e-05)	(115, 0.00021063478291405917)	(120, 0.0003123205401829153)	(125, 0.00045758590770985264)	(130, 0.0003772497574866221)	(135, 1.2105447293911447e-05)	(140, 0.0004690310578786417)	(145, 0.00012655694898180148)	(150, 0.0)
GFP-2_R2_paired	(1, 0.0)	(2, 0.135355408174058)	(3, 0.08491531078595464)	(4, 0.08554039206440389)	(5, 0.08516182171266702)	(6, 0.04071942321109249)	(7, 0.30098764052539706)	(8, 0.0)	(9, 0.04087459303549626)	(10, 0.016826571738536907)	(15, 0.008612475502013725)	(20, 0.0006404882113687692)	(25, 0.01649884426543447)	(30, 0.008400960322932836)	(35, 0.0003955179779483431)	(40, 0.0164438195050076)	(45, 0.00024915211521286826)	(50, 0.00016375368703036575)	(55, 0.008382031805345991)	(60, 0.0006393877161602318)	(65, 0.00011004952085374042)	(70, 0.008587824409342486)	(75, 0.0004830152040505435)	(80, 0.00033820972600894666)	(85, 0.00021446371948744407)	(90, 0.0005768941941038023)	(95, 0.00010723185974372203)	(100, 0.00037432066029636027)	(105, 0.00022239050994077875)	(110, 0.00012726902450076248)	(115, 0.000657981837842719)	(120, 0.0005736250000578251)	(125, 0.00025068557990238284)	(130, 0.0007974356759636432)	(135, 0.00016873915132269355)	(140, 0.00011146476575624405)	(145, 0.00015375997505722425)	(150, 0.0)
GFP-3_R1_paired	(1, 0.0)	(2, 0.10725487169278912)	(3, 0.020458231522531616)	(4, 0.0006073188307787448)	(5, 0.11784351494370424)	(6, 0.00019718143856452754)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00027158456804954263)	(15, 0.00012724775502030844)	(20, 0.00016037423669914907)	(25, 0.008808752132139327)	(30, 0.007425590067755354)	(35, 0.025872570916928787)	(40, 0.00018403600932689236)	(45, 0.00015301279632607337)	(50, 0.02629427628687212)	(55, 0.00014381099585972877)	(60, 0.00014065609284269633)	(65, 0.0005431691360990853)	(70, 0.00030891758708442645)	(75, 0.018145687611046835)	(80, 0.00016668404273321395)	(85, 0.00023504027476891682)	(90, 0.00015800805943637472)	(95, 0.009267790521117548)	(100, 0.0004624562005800053)	(105, 0.00011804595455396383)	(110, 7.492894665452046e-05)	(115, 0.00030760304416066296)	(120, 0.0004261748158841322)	(125, 0.0005450094961923542)	(130, 0.0004579867546392093)	(135, 1.2093794898624357e-05)	(140, 0.0006457034841526395)	(145, 0.00015432733924983688)	(150, 0.0)
GFP-3_R2_paired	(1, 0.0)	(2, 0.13900765601629686)	(3, 0.08890648156289795)	(4, 0.08968206188791841)	(5, 0.08926009360939033)	(6, 0.042839639342529254)	(7, 0.3057061587216722)	(8, 0.0)	(9, 0.04309334612681562)	(10, 0.017820206783122988)	(15, 0.009174457973530338)	(20, 0.0008284249505557685)	(25, 0.017416116288358083)	(30, 0.008903925039819805)	(35, 0.0005079393857422229)	(40, 0.01735065205075466)	(45, 0.0003636025727129888)	(50, 0.00022163193694652898)	(55, 0.008872376009649482)	(60, 0.0007811014053002818)	(65, 0.00015301279632607337)	(70, 0.009116092267715238)	(75, 0.0006640147067607706)	(80, 0.0004276724147136775)	(85, 0.00031010195384220527)	(90, 0.000749084278662087)	(95, 0.00015044810652904277)	(100, 0.0004984251081687693)	(105, 0.0002916904722739658)	(110, 0.0001717528209151485)	(115, 0.0007396837501591556)	(120, 0.0007523245090589186)	(125, 0.00030919247923897496)	(130, 0.0010065201983736843)	(135, 0.00022893400590460274)	(140, 0.00015999066159769936)	(145, 0.00020235707574342443)	(150, 0.0)
GFP_1_R1_paired	(1, 0.0)	(2, 0.10387795748988428)	(3, 0.019241457906926513)	(4, 0.001756864293509944)	(5, 0.11727682018816145)	(6, 0.00021596006265736848)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0002089559525171295)	(15, 7.307621579649334e-05)	(20, 0.00011743558001800687)	(25, 0.00825394659965835)	(30, 0.00683680721860251)	(35, 0.016136110415699366)	(40, 0.00013370255876421223)	(45, 0.00010194528309803194)	(50, 0.01664124077008617)	(55, 9.249176239959238e-05)	(60, 6.131805542375045e-05)	(65, 0.00038889105383592854)	(70, 0.0002322563288902478)	(75, 0.01799105236485527)	(80, 8.958930900409594e-05)	(85, 0.0001388825956072512)	(90, 8.84687615190241e-05)	(95, 0.009092181338395278)	(100, 0.00031381994004990626)	(105, 3.3726825634267126e-05)	(110, 2.4030536647724206e-05)	(115, 9.074122259343665e-05)	(120, 0.00019419096911773206)	(125, 0.00036533979998342245)	(130, 0.0002460952578141089)	(135, 2.2671723411608842e-05)	(140, 0.00022107499107485435)	(145, 8.699739942332098e-05)	(150, 0.0)
GFP_1_R2_paired	(1, 0.0)	(2, 0.08948334380000314)	(3, 0.0003817240026430243)	(4, 0.0006221984507912292)	(5, 0.0004984591716470073)	(6, 0.004769799005502744)	(7, 0.26308838508765653)	(8, 4.786141929163302e-05)	(9, 0.00014008220280477957)	(10, 0.0006429773108739382)	(15, 0.0005741035611615882)	(20, 0.0006429773108739382)	(25, 0.00022258749512701553)	(30, 0.0003120844426162504)	(35, 0.0003855575242280792)	(40, 0.00017208294819530642)	(45, 0.00022023488664506868)	(50, 0.00012144856068602755)	(55, 0.0002789641902420344)	(60, 0.0005923666854121883)	(65, 7.70657179037215e-05)	(70, 0.00039289881777615704)	(75, 0.0003830746855254491)	(80, 0.0002929403338751191)	(85, 0.00013857117773941697)	(90, 0.0005040156664012711)	(95, 5.4527903127171946e-05)	(100, 0.00031022667698594477)	(105, 0.00015707222333879913)	(110, 0.00012082527472184862)	(115, 0.0005218422384627617)	(120, 0.00042772631128113495)	(125, 0.00018929769863287296)	(130, 0.0005776639098805376)	(135, 9.17057921428469e-05)	(140, 4.5676213903316745e-05)	(145, 9.03785457442319e-05)	(150, 0.0)
GFP_2_R1_paired	(1, 0.0)	(2, 0.10513457955027897)	(3, 0.019876200140258093)	(4, 0.001735556364183193)	(5, 0.11419277239129863)	(6, 0.0002017832367506508)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0002361856246556798)	(15, 7.542061963794818e-05)	(20, 0.00011224881694653691)	(25, 0.008495522770382277)	(30, 0.007224377100335111)	(35, 0.01669293473243876)	(40, 0.00013727676590051855)	(45, 0.00010839905571768539)	(50, 0.016954889343300566)	(55, 8.751226381910533e-05)	(60, 6.961549091885319e-05)	(65, 0.000385821039096373)	(70, 0.00023624063597293626)	(75, 0.017486893990155516)	(80, 8.341628471128449e-05)	(85, 0.0001419800060456736)	(90, 8.282690315774166e-05)	(95, 0.008831128884309822)	(100, 0.00033410769991415354)	(105, 4.139733667955293e-05)	(110, 3.239873897107905e-05)	(115, 0.00011986877863708448)	(120, 0.0002289507667255421)	(125, 0.000381353332573255)	(130, 0.0002798406579764137)	(135, 4.157772403462578e-05)	(140, 0.00025562971282258677)	(145, 9.40493751157983e-05)	(150, 0.0)
GFP_2_R2_paired	(1, 0.0)	(2, 0.08975935849426217)	(3, 0.00044215889583066107)	(4, 0.000570065209836538)	(5, 0.0003969506296734114)	(6, 0.0032737400541676624)	(7, 0.25675869367914234)	(8, 6.174787572697511e-05)	(9, 0.0001532670486794561)	(10, 0.0006679796984893128)	(15, 0.0006088781602934938)	(20, 0.000675918711082781)	(25, 0.0002188206189366353)	(30, 0.0003361434194854792)	(35, 0.00040720613889488704)	(40, 0.00020061372067583068)	(45, 0.00023652783068798508)	(50, 0.0001311533862340185)	(55, 0.00031046813487394334)	(60, 0.0005800995233355428)	(65, 8.595780950559296e-05)	(70, 0.00040300012445122654)	(75, 0.0004047977947734048)	(80, 0.0003098347642102735)	(85, 0.00015435014096731747)	(90, 0.0005184631563558275)	(95, 6.070977141383411e-05)	(100, 0.0003120037940729561)	(105, 0.00018352967091782486)	(110, 0.00013600348575596255)	(115, 0.0005935152876803978)	(120, 0.0004563448269521421)	(125, 0.00023064779074080752)	(130, 0.0006271240706270443)	(135, 0.00011007932284617116)	(140, 6.104455200175319e-05)	(145, 0.00010141109422710082)	(150, 0.0)
