Sample	Unique Reads	Duplicate Reads
GFP-1_R1_paired	41596989.0	44289403.0
GFP-1_R2_paired	33629362.0	52257030.0
GFP-2_R1_paired	30038327.0	60829856.0
GFP-2_R2_paired	19967632.0	70900551.0
GFP-3_R1_paired	36714591.0	39357478.0
GFP-3_R2_paired	32604911.0	43467158.0
GFP_1_R1_paired	43496328.0	42167659.0
GFP_1_R2_paired	34711123.0	50952864.0
GFP_2_R1_paired	32280402.0	58410977.0
GFP_2_R2_paired	21070770.0	69620609.0
GFP_3_R1_paired	38500523.0	37357823.0
GFP_3_R2_paired	33705302.0	42153044.0
YAF-1_R1_paired	25626463.0	64955849.0
YAF-1_R2_paired	14482836.0	76099476.0
YAF-2_R1_paired	73904123.0	59028298.0
YAF-2_R2_paired	69544987.0	63387434.0
YAF-3_R1_paired	49481443.0	44786643.0
YAF-3_R2_paired	43312827.0	50955259.0
YAF_1_R1_paired	27770500.0	62633061.0
YAF_1_R2_paired	15609403.0	74794158.0
YAF_2_R1_paired	77037535.0	55596560.0
YAF_2_R2_paired	71447629.0	61186466.0
YAF_3_R1_paired	51545939.0	42503840.0
YAF_3_R2_paired	44641187.0	49408592.0
