Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
GFP-1_R1_paired	(1, 37.79793539353708)	(2, 38.690527202493264)	(3, 39.107735134571726)	(4, 38.927875489285896)	(5, 38.81297100010907)	(6, 38.84741035576393)	(7, 38.809254020124634)	(8, 38.806577693937825)	(9, 38.80965366434301)	(10, 38.945684494465674)	(15, 39.24404196185119)	(20, 39.351428235569614)	(25, 39.11189998061625)	(30, 39.01347945318276)	(35, 39.015242922301354)	(40, 39.01230938191)	(45, 38.993259742474685)	(50, 38.96322283045724)	(55, 38.97466475946504)	(60, 38.963524196010006)	(65, 38.93507869791527)	(70, 38.88849783327724)	(75, 38.82941514646465)	(80, 38.75630325698162)	(85, 38.51215844298129)	(90, 38.23031825577211)	(95, 37.601489069420914)	(100, 36.9590362440653)	(105, 36.137404072114236)	(110, 35.39010853779956)	(115, 34.93763232247549)	(120, 34.560644941284764)	(125, 34.49982993813502)	(130, 34.46029956410324)	(135, 34.52608485404766)	(140, 34.66421541610457)	(145, 34.83036430730494)	(150, 34.98276043604002)
GFP-1_R2_paired	(1, 38.35480992145997)	(2, 39.11150143552427)	(3, 39.24348986507665)	(4, 39.17001123996453)	(5, 39.28602791930065)	(6, 39.36427109430793)	(7, 39.20737226917158)	(8, 39.36455619185866)	(9, 39.3481547577409)	(10, 39.430142279116815)	(15, 39.45988063394257)	(20, 39.48970934999808)	(25, 39.32561200149146)	(30, 39.28042642657524)	(35, 39.27970479421234)	(40, 39.27168524671522)	(45, 39.26368918605872)	(50, 39.2500918748572)	(55, 39.22580348700642)	(60, 39.19843506291428)	(65, 39.166460162862585)	(70, 39.13239781687418)	(75, 39.10692898280992)	(80, 39.063401395294626)	(85, 39.02186931778221)	(90, 38.97363970677907)	(95, 38.865656320156134)	(100, 38.80850156283593)	(105, 38.57839018382532)	(110, 38.44760495652404)	(115, 38.34424954588203)	(120, 38.158849643027295)	(125, 38.37807842125363)	(130, 38.24448284884302)	(135, 38.44600146527133)	(140, 38.37070650136981)	(145, 38.43742753030324)	(150, 38.40233936669252)
GFP-2_R1_paired	(1, 37.8872910004154)	(2, 38.77964767932028)	(3, 39.19418089387789)	(4, 39.05734155595474)	(5, 38.932615192712724)	(6, 38.947114261105014)	(7, 38.908586606161144)	(8, 38.907692783952776)	(9, 38.91965930473156)	(10, 39.043042940563694)	(15, 39.324166272808604)	(20, 39.42313762342975)	(25, 39.22441821467917)	(30, 39.13531020643386)	(35, 39.13199807681859)	(40, 39.12713268625609)	(45, 39.10344128703443)	(50, 39.07375834729743)	(55, 39.08381195649086)	(60, 39.07290943849951)	(65, 39.0412428341392)	(70, 38.98858503641478)	(75, 38.922176599481475)	(80, 38.831143627027295)	(85, 38.66204454864031)	(90, 38.38408231845023)	(95, 38.0478321922647)	(100, 37.63688107200295)	(105, 37.1925675635002)	(110, 36.8292092513834)	(115, 36.52879106870664)	(120, 36.28987048635054)	(125, 36.188284662850585)	(130, 36.08898561116821)	(135, 36.04917397765068)	(140, 36.045591742491425)	(145, 36.057448574711785)	(150, 36.09822432665907)
GFP-2_R2_paired	(1, 38.759275994326856)	(2, 39.264513410596095)	(3, 39.413986895721244)	(4, 39.330507555103196)	(5, 39.45482653702892)	(6, 39.52547502793139)	(7, 39.37074551166056)	(8, 39.51395462590025)	(9, 39.48327431615971)	(10, 39.55205826884422)	(15, 39.57429573781617)	(20, 39.597712893631865)	(25, 39.486626640261974)	(30, 39.454075585510495)	(35, 39.44993246756128)	(40, 39.43725606574525)	(45, 39.42597070307877)	(50, 39.411970458350645)	(55, 39.38615604980239)	(60, 39.360791484077545)	(65, 39.33080023840688)	(70, 39.300061047770704)	(75, 39.27712630059707)	(80, 39.239583652377476)	(85, 39.20437078821824)	(90, 39.16344234703281)	(95, 39.096601972092984)	(100, 39.04540116352513)	(105, 38.9199249412212)	(110, 38.84308690622587)	(115, 38.76222405745185)	(120, 38.654665867733044)	(125, 38.73131633654262)	(130, 38.637557242168725)	(135, 38.72690049903833)	(140, 38.65672596570177)	(145, 38.67038647969123)	(150, 38.62625601149983)
GFP-3_R1_paired	(1, 37.860088911213914)	(2, 38.81443742512117)	(3, 39.24015309745289)	(4, 39.05467805798735)	(5, 38.981404278619)	(6, 39.04218458945819)	(7, 39.01538863100989)	(8, 39.01860437107344)	(9, 39.02591875080984)	(10, 39.14533294999509)	(15, 39.37908499898957)	(20, 39.462079486756174)	(25, 39.26588835647418)	(30, 39.18267385102934)	(35, 39.182814859419686)	(40, 39.18747121758973)	(45, 39.17564133032848)	(50, 39.15303668682917)	(55, 39.16046541076726)	(60, 39.142496134816575)	(65, 39.11799882293198)	(70, 39.06979663192808)	(75, 39.017293440513626)	(80, 38.93329332215218)	(85, 38.65528949396658)	(90, 38.24431204046783)	(95, 37.438701466105776)	(100, 36.589107347665276)	(105, 35.506791503199416)	(110, 34.65151302773164)	(115, 34.041667903103836)	(120, 33.55725076440342)	(125, 33.48729164182454)	(130, 33.40387873504531)	(135, 33.48972731634261)	(140, 33.66751614446032)	(145, 33.90837695764526)	(150, 34.12205551992557)
GFP-3_R2_paired	(1, 38.06099634282328)	(2, 39.096454284686274)	(3, 39.20216422666248)	(4, 39.17153600751939)	(5, 39.211982836959514)	(6, 39.26310349203201)	(7, 39.11680238380266)	(8, 39.29062936358416)	(9, 39.314586540297725)	(10, 39.38798402867155)	(15, 39.420899095041044)	(20, 39.45230196381276)	(25, 39.269619549850816)	(30, 39.219781804541164)	(35, 39.22027350143454)	(40, 39.212531858440705)	(45, 39.20489977997049)	(50, 39.19100061285305)	(55, 39.166339871733996)	(60, 39.138888082562865)	(65, 39.10602933121223)	(70, 39.06943933390322)	(75, 39.04269666198424)	(80, 38.99649247599025)	(85, 38.95138201578053)	(90, 38.888619426627535)	(95, 38.76674044761047)	(100, 38.688014146540766)	(105, 38.4107100166929)	(110, 38.26127779259171)	(115, 38.11716505229951)	(120, 37.900810352700994)	(125, 38.17212991620647)	(130, 38.01915827649849)	(135, 38.27900365183948)	(140, 38.201587696802335)	(145, 38.301669825569896)	(150, 38.26805758578888)
GFP_1_R1_paired	(1, 38.427861733776176)	(2, 38.72762013750305)	(3, 39.12203873956976)	(4, 38.933146947736624)	(5, 38.81907840689227)	(6, 38.85379140711721)	(7, 38.82115181027005)	(8, 38.81760488220097)	(9, 38.820470030189)	(10, 38.954468122059275)	(15, 39.25434779961852)	(20, 39.357950178060236)	(25, 39.12942499392764)	(30, 39.057329283672495)	(35, 39.07623201571023)	(40, 39.08370985394137)	(45, 39.07791801852791)	(50, 39.06401334015857)	(55, 39.08414465946403)	(60, 39.083634623203935)	(65, 39.06712903960587)	(70, 39.033218191698055)	(75, 38.98818671602112)	(80, 38.931466524697086)	(85, 38.72342302184523)	(90, 38.53624562615862)	(95, 38.160756638027486)	(100, 38.01451941762646)	(105, 37.75475998057972)	(110, 37.73772847418077)	(115, 37.76490400012931)	(120, 37.82210594675511)	(125, 37.913366271638196)	(130, 37.93589730305552)	(135, 37.98971576960681)	(140, 37.9674418282765)	(145, 38.000158297396624)	(150, 38.90899107586853)
GFP_1_R2_paired	(1, 38.86110031278371)	(2, 39.17012344989266)	(3, 39.309021070896456)	(4, 39.2330035023936)	(5, 39.349768508906784)	(6, 39.40257849544173)	(7, 39.257628249313214)	(8, 39.399914668926165)	(9, 39.38935085988935)	(10, 39.46534765887093)	(15, 39.49093633010567)	(20, 39.51255245684514)	(25, 39.37246040059069)	(30, 39.35343682743602)	(35, 39.36395916898114)	(40, 39.37326226117777)	(45, 39.37234563660429)	(50, 39.37057464971978)	(55, 39.36020306468665)	(60, 39.34217934612998)	(65, 39.32216274000089)	(70, 39.30184211146703)	(75, 39.28381600044345)	(80, 39.25042936514783)	(85, 39.22173888783746)	(90, 39.18556476712848)	(95, 39.09121393364967)	(100, 39.04886974694339)	(105, 38.83737789292179)	(110, 38.72956938328865)	(115, 38.64507882790976)	(120, 38.48117777987405)	(125, 38.711119873831805)	(130, 38.59575209863904)	(135, 38.80488031845922)	(140, 38.74173979848566)	(145, 38.84189966282703)	(150, 39.363038089898815)
GFP_2_R1_paired	(1, 38.49255793100246)	(2, 38.81287556560365)	(3, 39.20582528577496)	(4, 39.060007589034456)	(5, 38.936337465990015)	(6, 38.95050838294123)	(7, 38.917104171500135)	(8, 38.91543993393242)	(9, 38.92763835909916)	(10, 39.04897345093849)	(15, 39.331728419302124)	(20, 39.42722397461836)	(25, 39.236035724257235)	(30, 39.16785445148423)	(35, 39.17935060723717)	(40, 39.182896313245955)	(45, 39.17073150545154)	(50, 39.155919084551805)	(55, 39.17335707073674)	(60, 39.171845949726)	(65, 39.15088021214997)	(70, 39.1099944651365)	(75, 39.05657665997751)	(80, 38.98410978627482)	(85, 38.857564990713385)	(90, 38.678911886567114)	(95, 38.552999038802376)	(100, 38.39327583111411)	(105, 38.3370607621671)	(110, 38.29124224156013)	(115, 38.285031045872955)	(120, 38.30478947589679)	(125, 38.30324679862181)	(130, 38.29695770616577)	(135, 38.27736501603063)	(140, 38.23979339266879)	(145, 38.219579343014175)	(150, 39.03400224720155)
GFP_2_R2_paired	(1, 39.102065919628366)	(2, 39.30903884480575)	(3, 39.466346431891836)	(4, 39.38385047601933)	(5, 39.507118091125285)	(6, 39.55521529780686)	(7, 39.40795686875596)	(8, 39.53612733135307)	(9, 39.51572320892816)	(10, 39.577225830913875)	(15, 39.5959500362212)	(20, 39.61306704135571)	(25, 39.51962996239954)	(30, 39.50231456213989)	(35, 39.50485537195768)	(40, 39.50602574781057)	(45, 39.4985178523585)	(50, 39.49377754348559)	(55, 39.47980183016074)	(60, 39.46174557776443)	(65, 39.44173389214629)	(70, 39.42319484621574)	(75, 39.40556733471784)	(80, 39.37646751236689)	(85, 39.35228762145552)	(90, 39.32176947542893)	(95, 39.26631019304691)	(100, 39.227100170603585)	(105, 39.1153867561705)	(110, 39.05419807621776)	(115, 38.98794598599123)	(120, 38.8945551909125)	(125, 38.9814236783472)	(130, 38.90269051438249)	(135, 39.00058572686616)	(140, 38.942456986706816)	(145, 38.98516724460323)	(150, 39.426782486624646)
GFP_3_R1_paired	(1, 38.513732108000355)	(2, 38.85050768177835)	(3, 39.256265988188034)	(4, 39.056607429853536)	(5, 38.987817688511164)	(6, 39.050877513200724)	(7, 39.0282413486843)	(8, 39.031253331044155)	(9, 39.03670098475387)	(10, 39.154514584328005)	(15, 39.38954164384232)	(20, 39.46929273148139)	(25, 39.28330166575337)	(30, 39.223052130986865)	(35, 39.23865583011048)	(40, 39.25154280698389)	(45, 39.250973402910965)	(50, 39.24292979995561)	(55, 39.25670550300957)	(60, 39.24780959502763)	(65, 39.2337099360181)	(70, 39.19616603713927)	(75, 39.156485402780156)	(80, 39.08804342172538)	(85, 38.855586746457675)	(90, 38.576965714747125)	(95, 38.1314474508444)	(100, 37.852785891253205)	(105, 37.53477992937695)	(110, 37.512325989492794)	(115, 37.51174819830591)	(120, 37.6573936781301)	(125, 37.752809989595114)	(130, 37.84587961769843)	(135, 37.91594731151086)	(140, 37.94500032314451)	(145, 38.02182389942121)	(150, 38.94597573358712)
GFP_3_R2_paired	(1, 38.668107422220885)	(2, 39.157369763901784)	(3, 39.27578842807883)	(4, 39.23324977320228)	(5, 39.27800545506226)	(6, 39.30577123313498)	(7, 39.17420108263368)	(8, 39.33300470326627)	(9, 39.35903485161672)	(10, 39.42618657148153)	(15, 39.454958176915696)	(20, 39.47704228088495)	(25, 39.321062071279464)	(30, 39.301842230264675)	(35, 39.31512505197202)	(40, 39.327066950053734)	(45, 39.32794931896117)	(50, 39.32677155295841)	(55, 39.31750776219202)	(60, 39.30015325008741)	(65, 39.280115690446884)	(70, 39.25815407274613)	(75, 39.239204602009885)	(80, 39.203732997951555)	(85, 39.17254153778883)	(90, 39.12199602183638)	(95, 39.015411692917844)	(100, 38.95285573977433)	(105, 38.69751787988101)	(110, 38.57523906789096)	(115, 38.454165347900584)	(120, 38.26500650796297)	(125, 38.5486088718638)	(130, 38.41714483830617)	(135, 38.68427822864182)	(140, 38.61983254498639)	(145, 38.758084498997555)	(150, 39.332864826269926)
YAF-1_R1_paired	(1, 37.94339040496118)	(2, 38.849481784037486)	(3, 39.2236626285273)	(4, 39.12107319583541)	(5, 38.99332529732737)	(6, 38.99350961587291)	(7, 38.956773194307516)	(8, 38.9527934327841)	(9, 38.98042924759969)	(10, 39.09929435671724)	(15, 39.35333233269647)	(20, 39.44441452543185)	(25, 39.244765375385875)	(30, 39.15724593560826)	(35, 39.152416246562574)	(40, 39.14773494851842)	(45, 39.12516259024168)	(50, 39.09364840235034)	(55, 39.10817429345367)	(60, 39.095851817074404)	(65, 39.06695277108847)	(70, 39.01935107154254)	(75, 38.96418877451483)	(80, 38.898977539897636)	(85, 38.706297631263816)	(90, 38.430437668669796)	(95, 37.976999593474716)	(100, 37.3950415882518)	(105, 36.77738847734423)	(110, 36.119656292279224)	(115, 35.590093059227726)	(120, 35.061704912102485)	(125, 34.78319603058928)	(130, 34.48032498883447)	(135, 34.34450037883776)	(140, 34.25025432338269)	(145, 34.22817803988046)	(150, 34.27251757781009)
YAF-1_R2_paired	(1, 38.675943444676044)	(2, 39.27344590188866)	(3, 39.41337854127636)	(4, 39.349675177202364)	(5, 39.46389864723258)	(6, 39.52124701785046)	(7, 39.37212865575787)	(8, 39.51675316037418)	(9, 39.499118856670385)	(10, 39.561152256745224)	(15, 39.58232862945693)	(20, 39.60492165843592)	(25, 39.49310058679005)	(30, 39.461390307635334)	(35, 39.45701381081993)	(40, 39.443899457986895)	(45, 39.433364376921624)	(50, 39.417646835951814)	(55, 39.39371536465087)	(60, 39.36715423646948)	(65, 39.338557744032855)	(70, 39.30614087659852)	(75, 39.28179277900536)	(80, 39.24051631505412)	(85, 39.20643730556773)	(90, 39.16224747232388)	(95, 39.09173556148738)	(100, 39.03872194150124)	(105, 38.88203026414726)	(110, 38.80041314693532)	(115, 38.647585842525835)	(120, 38.49628271350714)	(125, 38.556124662602464)	(130, 38.39370832251988)	(135, 38.537252940494284)	(140, 38.419376793059776)	(145, 38.4872424245264)	(150, 38.42375211151543)
YAF-2_R1_paired	(1, 37.69923750956134)	(2, 38.85174715955861)	(3, 39.32455500829252)	(4, 39.149171186764136)	(5, 39.12543292956351)	(6, 39.191405052346106)	(7, 39.16374475719508)	(8, 39.19275151093502)	(9, 39.19760053117516)	(10, 39.31548326799826)	(15, 39.49587817406861)	(20, 39.55806431901214)	(25, 39.3874007274719)	(30, 39.312226425184875)	(35, 39.31216729438787)	(40, 39.321127308739825)	(45, 39.30887902507997)	(50, 39.2749211270289)	(55, 39.284927835625595)	(60, 39.23270628163765)	(65, 39.21556359828879)	(70, 39.154862848695124)	(75, 39.04294885594538)	(80, 38.815829571026924)	(85, 38.05083029368735)	(90, 36.431997795330915)	(95, 34.695348334925754)	(100, 32.512913833112236)	(105, 30.83513705358605)	(110, 29.181723155406907)	(115, 28.780075671682834)	(120, 28.073011299478253)	(125, 28.2842327290496)	(130, 28.39505813559207)	(135, 28.738759496451205)	(140, 29.444486175422924)	(145, 30.158284333059726)	(150, 30.797138678753722)
YAF-2_R2_paired	(1, 38.46156747570256)	(2, 39.18272358855181)	(3, 39.40116986209105)	(4, 39.322900016994346)	(5, 39.45324001885138)	(6, 39.51139856243196)	(7, 39.36712510486814)	(8, 39.52384745930415)	(9, 39.5115480067876)	(10, 39.56677989036249)	(15, 39.58295017285513)	(20, 39.601119612498444)	(25, 39.477305434766734)	(30, 39.441513344588834)	(35, 39.43901197737157)	(40, 39.42740950155417)	(45, 39.42079857854992)	(50, 39.397664505034484)	(55, 39.37467430010922)	(60, 39.35009999404134)	(65, 39.314662116926314)	(70, 39.264853566459905)	(75, 39.24349071848387)	(80, 39.20912408371288)	(85, 39.15227349567765)	(90, 39.075996502274975)	(95, 38.75196992079303)	(100, 38.839175281908275)	(105, 38.082727997330856)	(110, 37.60410901108529)	(115, 37.89918836328737)	(120, 37.16524733031905)	(125, 38.188443134310596)	(130, 37.723889870176585)	(135, 38.40930111199815)	(140, 38.21764806342314)	(145, 38.51096970135264)	(150, 38.537691092665696)
YAF-3_R1_paired	(1, 37.78718460455429)	(2, 38.793771308775696)	(3, 39.21403082269009)	(4, 39.05133374618426)	(5, 38.9684938760717)	(6, 38.995495782103816)	(7, 38.96525763766966)	(8, 38.97052616513292)	(9, 38.98467695631372)	(10, 39.11104581034986)	(15, 39.35048228304964)	(20, 39.43910601091445)	(25, 39.23088658445871)	(30, 39.1436326181482)	(35, 39.14535394300888)	(40, 39.148358769053615)	(45, 39.13484461326604)	(50, 39.107444451561264)	(55, 39.11783639693289)	(60, 39.09179641135389)	(65, 39.06735404811338)	(70, 39.00896322430903)	(75, 38.94733496127205)	(80, 38.87154492136395)	(85, 38.52632186464463)	(90, 38.17625499259633)	(95, 37.20736746898628)	(100, 36.32957629372045)	(105, 35.083612288468444)	(110, 34.061243577174146)	(115, 33.42682554093652)	(120, 32.84183488779013)	(125, 32.774746566934645)	(130, 32.68016733043673)	(135, 32.76660712088712)	(140, 32.95390387368213)	(145, 33.20249417602474)	(150, 33.44050504841344)
YAF-3_R2_paired	(1, 38.3854828239538)	(2, 39.184869628094496)	(3, 39.33890687034847)	(4, 39.2666344578164)	(5, 39.387185499873205)	(6, 39.44802445654832)	(7, 39.29766239233923)	(8, 39.44940263240308)	(9, 39.42938156185753)	(10, 39.50023035367452)	(15, 39.52115869627395)	(20, 39.54493551932305)	(25, 39.40457547849226)	(30, 39.366335741663406)	(35, 39.36505539743323)	(40, 39.35452729569581)	(45, 39.347223971429734)	(50, 39.331499018660466)	(55, 39.30815742668202)	(60, 39.28222504061449)	(65, 39.24990907315123)	(70, 39.212464799592944)	(75, 39.187786362540514)	(80, 39.14481337020642)	(85, 39.09953683443822)	(90, 39.03745446541186)	(95, 38.886379460867246)	(100, 38.84683546903229)	(105, 38.48797201931417)	(110, 38.324836314161644)	(115, 38.2290969284922)	(120, 37.908768288143996)	(125, 38.31596106222149)	(130, 38.06345982488928)	(135, 38.42723765589234)	(140, 38.28591518510463)	(145, 38.45101641275251)	(150, 38.4138148200555)
YAF_1_R1_paired	(1, 38.548773803279715)	(2, 38.88197149667589)	(3, 39.23621705565337)	(4, 39.123801528127856)	(5, 38.99710143055095)	(6, 38.99747623879551)	(7, 38.9660535164096)	(8, 38.962853730949824)	(9, 38.98882040719613)	(10, 39.10602517969397)	(15, 39.36156744091087)	(20, 39.44936411962799)	(25, 39.258540192556)	(30, 39.193697011292336)	(35, 39.20463315495734)	(40, 39.20886934875066)	(45, 39.19810475853658)	(50, 39.18150285193618)	(55, 39.20333648319615)	(60, 39.20010035751903)	(65, 39.18211240434961)	(70, 39.14582308753448)	(75, 39.103079288634746)	(80, 39.05302953119949)	(85, 38.89269251132941)	(90, 38.69785423049302)	(95, 38.431858196998306)	(100, 38.11786052201401)	(105, 37.94986523146578)	(110, 37.73526440976362)	(115, 37.70351260048259)	(120, 37.66001943554282)	(125, 37.67105446099743)	(130, 37.66159297248397)	(135, 37.66735238151152)	(140, 37.64877730515851)	(145, 37.70292623107453)	(150, 38.856849950555144)
YAF_1_R2_paired	(1, 39.046863917229985)	(2, 39.31897673809553)	(3, 39.46591225538118)	(4, 39.40326726731484)	(5, 39.516415354479236)	(6, 39.552932876172875)	(7, 39.41202165697876)	(8, 39.541634471677504)	(9, 39.532574164860605)	(10, 39.5879664209245)	(15, 39.605677152474115)	(20, 39.62191884012181)	(25, 39.52848654155492)	(30, 39.51331476952245)	(35, 39.51610077175662)	(40, 39.51700129583476)	(45, 39.510598751944826)	(50, 39.50389047013677)	(55, 39.49165905224531)	(60, 39.47202318154035)	(65, 39.45287411220964)	(70, 39.43208909573417)	(75, 39.412629892832356)	(80, 39.37928229334171)	(85, 39.355728437844675)	(90, 39.32116194250101)	(95, 39.26159079156298)	(100, 39.21970284143253)	(105, 39.07701974945818)	(110, 39.011496409618076)	(115, 38.87506405005677)	(120, 38.741114539967285)	(125, 38.812935974215534)	(130, 38.66969020386722)	(135, 38.82232633852978)	(140, 38.71935593575072)	(145, 38.825108741506156)	(150, 39.364189785672934)
YAF_2_R1_paired	(1, 38.45162298577903)	(2, 38.89166973243192)	(3, 39.34015639040625)	(4, 39.14702678824777)	(5, 39.129171786485216)	(6, 39.19652651906736)	(7, 39.17527496983336)	(8, 39.20355878328269)	(9, 39.206031661768414)	(10, 39.32204326496894)	(15, 39.50379629008665)	(20, 39.56307560586137)	(25, 39.4010695624937)	(30, 39.346966579547505)	(35, 39.36162926768732)	(40, 39.37730086023286)	(45, 39.37453364745064)	(50, 39.3535464783145)	(55, 39.36841338912907)	(60, 39.32256870304873)	(65, 39.3165789682347)	(70, 39.263138992913866)	(75, 39.16790317166303)	(80, 38.96828746240796)	(85, 38.294502571446394)	(90, 37.02899004972886)	(95, 36.582152444298984)	(100, 35.457877639427565)	(105, 35.48107783154459)	(110, 35.25622241734525)	(115, 35.53778740740859)	(120, 35.8048936768222)	(125, 36.065420942533606)	(130, 36.309724282520264)	(135, 36.455961429487594)	(140, 36.64006991792597)	(145, 36.831201933057436)	(150, 38.4600780011818)
