Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
GFP_3_R1_paired	(19.0, 3.0)	(20.0, 314.0)	(21.0, 3449.0)	(22.0, 12957.0)	(23.0, 26169.0)	(24.0, 43488.0)	(25.0, 61485.0)	(26.0, 86211.0)	(27.0, 113715.0)	(28.0, 157125.0)	(29.0, 206094.0)	(30.0, 277797.0)	(31.0, 357914.0)	(32.0, 506643.0)	(33.0, 746629.0)	(34.0, 1121621.0)	(35.0, 1615790.0)	(36.0, 3677112.0)	(37.0, 6975510.0)	(38.0, 15550009.0)	(39.0, 37309623.0)	(40.0, 7008688.0)								
GFP_3_R2_paired	(16.0, 2.0)	(17.0, 27.0)	(18.0, 197.0)	(19.0, 1237.0)	(20.0, 7303.0)	(21.0, 23570.0)	(22.0, 47050.0)	(23.0, 64075.0)	(24.0, 82980.0)	(25.0, 92998.0)	(26.0, 109623.0)	(27.0, 125468.0)	(28.0, 158637.0)	(29.0, 190245.0)	(30.0, 241214.0)	(31.0, 298820.0)	(32.0, 395316.0)	(33.0, 505811.0)	(34.0, 703810.0)	(35.0, 1005609.0)	(36.0, 1665611.0)	(37.0, 2967334.0)	(38.0, 8792830.0)	(39.0, 48958012.0)	(40.0, 9420567.0)					
YAF-1_R1_paired	(16.0, 4.0)	(17.0, 282.0)	(18.0, 5723.0)	(19.0, 30437.0)	(20.0, 70638.0)	(21.0, 96934.0)	(22.0, 118356.0)	(23.0, 136140.0)	(24.0, 164887.0)	(25.0, 191045.0)	(26.0, 236249.0)	(27.0, 280281.0)	(28.0, 362601.0)	(29.0, 469075.0)	(30.0, 689424.0)	(31.0, 1140621.0)	(32.0, 2778560.0)	(33.0, 5351707.0)	(34.0, 5472504.0)	(35.0, 3989688.0)	(36.0, 3795388.0)	(37.0, 4944194.0)	(38.0, 9861111.0)	(39.0, 42397580.0)	(40.0, 7998883.0)					
YAF-1_R2_paired	(11.0, 6.0)	(12.0, 90.0)	(13.0, 428.0)	(14.0, 908.0)	(15.0, 1693.0)	(16.0, 4945.0)	(17.0, 14333.0)	(18.0, 34611.0)	(19.0, 55371.0)	(20.0, 72115.0)	(21.0, 72484.0)	(22.0, 76369.0)	(23.0, 83553.0)	(24.0, 98805.0)	(25.0, 110012.0)	(26.0, 128392.0)	(27.0, 141329.0)	(28.0, 165377.0)	(29.0, 185305.0)	(30.0, 225091.0)	(31.0, 259844.0)	(32.0, 322495.0)	(33.0, 402732.0)	(34.0, 566138.0)	(35.0, 824987.0)	(36.0, 1434509.0)	(37.0, 2726686.0)	(38.0, 8460548.0)	(39.0, 57345496.0)	(40.0, 16767660.0)
YAF-2_R1_paired	(16.0, 8.0)	(17.0, 362.0)	(18.0, 8351.0)	(19.0, 47328.0)	(20.0, 109346.0)	(21.0, 141674.0)	(22.0, 174699.0)	(23.0, 210610.0)	(24.0, 273208.0)	(25.0, 340498.0)	(26.0, 455926.0)	(27.0, 601965.0)	(28.0, 891502.0)	(29.0, 1338116.0)	(30.0, 2306034.0)	(31.0, 5187209.0)	(32.0, 15049752.0)	(33.0, 24334685.0)	(34.0, 16860216.0)	(35.0, 8251819.0)	(36.0, 4887318.0)	(37.0, 5466575.0)	(38.0, 7766137.0)	(39.0, 31007253.0)	(40.0, 7221830.0)					
YAF-2_R2_paired	(11.0, 19.0)	(12.0, 161.0)	(13.0, 628.0)	(14.0, 1194.0)	(15.0, 2416.0)	(16.0, 7832.0)	(17.0, 23326.0)	(18.0, 57305.0)	(19.0, 94454.0)	(20.0, 125534.0)	(21.0, 128899.0)	(22.0, 135071.0)	(23.0, 146187.0)	(24.0, 169173.0)	(25.0, 188086.0)	(26.0, 219892.0)	(27.0, 245533.0)	(28.0, 291031.0)	(29.0, 327894.0)	(30.0, 397783.0)	(31.0, 457283.0)	(32.0, 572241.0)	(33.0, 717878.0)	(34.0, 1002067.0)	(35.0, 1432776.0)	(36.0, 2398386.0)	(37.0, 4537460.0)	(38.0, 16384562.0)	(39.0, 90614755.0)	(40.0, 12252595.0)
YAF-3_R1_paired	(16.0, 4.0)	(17.0, 347.0)	(18.0, 6765.0)	(19.0, 35803.0)	(20.0, 83475.0)	(21.0, 112634.0)	(22.0, 135605.0)	(23.0, 155624.0)	(24.0, 191765.0)	(25.0, 226391.0)	(26.0, 284370.0)	(27.0, 348237.0)	(28.0, 465418.0)	(29.0, 625003.0)	(30.0, 938449.0)	(31.0, 1620490.0)	(32.0, 4084339.0)	(33.0, 8223162.0)	(34.0, 8891723.0)	(35.0, 5910616.0)	(36.0, 4112604.0)	(37.0, 4783434.0)	(38.0, 8761243.0)	(39.0, 37351939.0)	(40.0, 6918646.0)					
YAF-3_R2_paired	(11.0, 11.0)	(12.0, 108.0)	(13.0, 459.0)	(14.0, 955.0)	(15.0, 1803.0)	(16.0, 5532.0)	(17.0, 16585.0)	(18.0, 41772.0)	(19.0, 71152.0)	(20.0, 95994.0)	(21.0, 98458.0)	(22.0, 102275.0)	(23.0, 109446.0)	(24.0, 126157.0)	(25.0, 139052.0)	(26.0, 161265.0)	(27.0, 179357.0)	(28.0, 210601.0)	(29.0, 235910.0)	(30.0, 286368.0)	(31.0, 330852.0)	(32.0, 409763.0)	(33.0, 512847.0)	(34.0, 713652.0)	(35.0, 1022272.0)	(36.0, 1737263.0)	(37.0, 3253436.0)	(38.0, 10407793.0)	(39.0, 61000061.0)	(40.0, 12996887.0)
YAF_1_R1_paired	(19.0, 7.0)	(20.0, 450.0)	(21.0, 4698.0)	(22.0, 17681.0)	(23.0, 35182.0)	(24.0, 57869.0)	(25.0, 81826.0)	(26.0, 114868.0)	(27.0, 149005.0)	(28.0, 204919.0)	(29.0, 263558.0)	(30.0, 353328.0)	(31.0, 456469.0)	(32.0, 640073.0)	(33.0, 922688.0)	(34.0, 1361020.0)	(35.0, 2200175.0)	(36.0, 4893746.0)	(37.0, 7750580.0)	(38.0, 17463739.0)	(39.0, 45306860.0)	(40.0, 8124820.0)								
YAF_1_R2_paired	(16.0, 3.0)	(17.0, 12.0)	(18.0, 186.0)	(19.0, 874.0)	(20.0, 4947.0)	(21.0, 15891.0)	(22.0, 31617.0)	(23.0, 42975.0)	(24.0, 55471.0)	(25.0, 63252.0)	(26.0, 76770.0)	(27.0, 89966.0)	(28.0, 116128.0)	(29.0, 143155.0)	(30.0, 187557.0)	(31.0, 235821.0)	(32.0, 317754.0)	(33.0, 415846.0)	(34.0, 593522.0)	(35.0, 873048.0)	(36.0, 1497199.0)	(37.0, 2782121.0)	(38.0, 8393416.0)	(39.0, 57521770.0)	(40.0, 16944260.0)					
YAF_2_R1_paired	(18.0, 1.0)	(19.0, 6.0)	(20.0, 408.0)	(21.0, 4673.0)	(22.0, 18693.0)	(23.0, 39225.0)	(24.0, 65179.0)	(25.0, 92166.0)	(26.0, 128680.0)	(27.0, 171804.0)	(28.0, 241744.0)	(29.0, 322930.0)	(30.0, 448579.0)	(31.0, 614255.0)	(32.0, 980082.0)	(33.0, 1688603.0)	(34.0, 2424651.0)	(35.0, 4624613.0)	(36.0, 11525792.0)	(37.0, 17893358.0)	(38.0, 41940330.0)	(39.0, 42033695.0)	(40.0, 7374628.0)							
YAF_2_R2_paired	(16.0, 2.0)	(17.0, 44.0)	(18.0, 254.0)	(19.0, 1571.0)	(20.0, 8632.0)	(21.0, 27253.0)	(22.0, 53964.0)	(23.0, 74300.0)	(24.0, 96093.0)	(25.0, 110452.0)	(26.0, 133026.0)	(27.0, 157655.0)	(28.0, 205137.0)	(29.0, 251833.0)	(30.0, 329300.0)	(31.0, 417449.0)	(32.0, 563312.0)	(33.0, 736447.0)	(34.0, 1047868.0)	(35.0, 1520458.0)	(36.0, 2515580.0)	(37.0, 4609407.0)	(38.0, 16135020.0)	(39.0, 91103468.0)	(40.0, 12535570.0)					
YAF_3_R1_paired	(19.0, 12.0)	(20.0, 507.0)	(21.0, 5162.0)	(22.0, 18943.0)	(23.0, 38521.0)	(24.0, 62411.0)	(25.0, 87593.0)	(26.0, 120713.0)	(27.0, 157852.0)	(28.0, 217755.0)	(29.0, 281378.0)	(30.0, 377027.0)	(31.0, 486428.0)	(32.0, 676191.0)	(33.0, 966973.0)	(34.0, 1456422.0)	(35.0, 2098436.0)	(36.0, 4355242.0)	(37.0, 9257474.0)	(38.0, 22054456.0)	(39.0, 44284048.0)	(40.0, 7046235.0)								
YAF_3_R2_paired	(16.0, 3.0)	(17.0, 27.0)	(18.0, 196.0)	(19.0, 1168.0)	(20.0, 6505.0)	(21.0, 21524.0)	(22.0, 42448.0)	(23.0, 58211.0)	(24.0, 75646.0)	(25.0, 85859.0)	(26.0, 102339.0)	(27.0, 120457.0)	(28.0, 153977.0)	(29.0, 187974.0)	(30.0, 243452.0)	(31.0, 304666.0)	(32.0, 406467.0)	(33.0, 529153.0)	(34.0, 747716.0)	(35.0, 1083841.0)	(36.0, 1817070.0)	(37.0, 3313397.0)	(38.0, 10307213.0)	(39.0, 61273496.0)	(40.0, 13166974.0)					
