Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
GFP-1_R1_paired	(16.0, 5.0)	(17.0, 382.0)	(18.0, 5835.0)	(19.0, 30227.0)	(20.0, 72253.0)	(21.0, 103490.0)	(22.0, 127655.0)	(23.0, 146437.0)	(24.0, 176561.0)	(25.0, 205083.0)	(26.0, 253454.0)	(27.0, 302226.0)	(28.0, 392994.0)	(29.0, 505903.0)	(30.0, 732499.0)	(31.0, 1171548.0)	(32.0, 2709358.0)	(33.0, 5290296.0)	(34.0, 5771196.0)	(35.0, 4234761.0)	(36.0, 3645377.0)	(37.0, 4747936.0)	(38.0, 10101232.0)	(39.0, 39475020.0)	(40.0, 5684664.0)					
GFP-1_R2_paired	(11.0, 6.0)	(12.0, 123.0)	(13.0, 452.0)	(14.0, 897.0)	(15.0, 1989.0)	(16.0, 6340.0)	(17.0, 18660.0)	(18.0, 43872.0)	(19.0, 71190.0)	(20.0, 94960.0)	(21.0, 98642.0)	(22.0, 102047.0)	(23.0, 107749.0)	(24.0, 124374.0)	(25.0, 136434.0)	(26.0, 157860.0)	(27.0, 174019.0)	(28.0, 203201.0)	(29.0, 226913.0)	(30.0, 272252.0)	(31.0, 312818.0)	(32.0, 387114.0)	(33.0, 479453.0)	(34.0, 666618.0)	(35.0, 959430.0)	(36.0, 1654439.0)	(37.0, 3112634.0)	(38.0, 9371521.0)	(39.0, 55341451.0)	(40.0, 11758934.0)
GFP-2_R1_paired	(16.0, 4.0)	(17.0, 199.0)	(18.0, 4006.0)	(19.0, 21506.0)	(20.0, 53606.0)	(21.0, 81270.0)	(22.0, 106291.0)	(23.0, 124970.0)	(24.0, 153748.0)	(25.0, 178822.0)	(26.0, 220706.0)	(27.0, 262302.0)	(28.0, 338869.0)	(29.0, 435410.0)	(30.0, 636101.0)	(31.0, 1106891.0)	(32.0, 2528633.0)	(33.0, 3701184.0)	(34.0, 3213451.0)	(35.0, 2529414.0)	(36.0, 2937049.0)	(37.0, 4596116.0)	(38.0, 10901927.0)	(39.0, 48806690.0)	(40.0, 7929018.0)					
GFP-2_R2_paired	(11.0, 10.0)	(12.0, 139.0)	(13.0, 491.0)	(14.0, 962.0)	(15.0, 1547.0)	(16.0, 4256.0)	(17.0, 11936.0)	(18.0, 27723.0)	(19.0, 45425.0)	(20.0, 61474.0)	(21.0, 67029.0)	(22.0, 73239.0)	(23.0, 81681.0)	(24.0, 97072.0)	(25.0, 108480.0)	(26.0, 126180.0)	(27.0, 139119.0)	(28.0, 162379.0)	(29.0, 180918.0)	(30.0, 218334.0)	(31.0, 252233.0)	(32.0, 309295.0)	(33.0, 386001.0)	(34.0, 538118.0)	(35.0, 784039.0)	(36.0, 1378454.0)	(37.0, 2658968.0)	(38.0, 7981553.0)	(39.0, 57271800.0)	(40.0, 17899328.0)
GFP-3_R1_paired	(16.0, 5.0)	(17.0, 251.0)	(18.0, 4169.0)	(19.0, 22735.0)	(20.0, 55914.0)	(21.0, 78423.0)	(22.0, 97236.0)	(23.0, 112569.0)	(24.0, 137264.0)	(25.0, 163499.0)	(26.0, 206121.0)	(27.0, 250255.0)	(28.0, 336732.0)	(29.0, 452462.0)	(30.0, 688386.0)	(31.0, 1220158.0)	(32.0, 3151646.0)	(33.0, 6133598.0)	(34.0, 6360217.0)	(35.0, 4048925.0)	(36.0, 2930872.0)	(37.0, 3537836.0)	(38.0, 6762408.0)	(39.0, 32418369.0)	(40.0, 6902019.0)					
GFP-3_R2_paired	(11.0, 5.0)	(12.0, 104.0)	(13.0, 465.0)	(14.0, 913.0)	(15.0, 1769.0)	(16.0, 5686.0)	(17.0, 17412.0)	(18.0, 43008.0)	(19.0, 73986.0)	(20.0, 102230.0)	(21.0, 106940.0)	(22.0, 108319.0)	(23.0, 112663.0)	(24.0, 128400.0)	(25.0, 140109.0)	(26.0, 160551.0)	(27.0, 177059.0)	(28.0, 204969.0)	(29.0, 230422.0)	(30.0, 275373.0)	(31.0, 317176.0)	(32.0, 391995.0)	(33.0, 483457.0)	(34.0, 663902.0)	(35.0, 941907.0)	(36.0, 1588598.0)	(37.0, 2906231.0)	(38.0, 8865255.0)	(39.0, 48726619.0)	(40.0, 9296546.0)
GFP_1_R1_paired	(19.0, 13.0)	(20.0, 380.0)	(21.0, 4694.0)	(22.0, 17742.0)	(23.0, 36423.0)	(24.0, 60544.0)	(25.0, 85278.0)	(26.0, 119259.0)	(27.0, 155586.0)	(28.0, 213895.0)	(29.0, 276292.0)	(30.0, 372102.0)	(31.0, 477369.0)	(32.0, 656076.0)	(33.0, 903311.0)	(34.0, 1329023.0)	(35.0, 1949671.0)	(36.0, 3687284.0)	(37.0, 7700867.0)	(38.0, 18756672.0)	(39.0, 43089008.0)	(40.0, 5772498.0)								
GFP_1_R2_paired	(16.0, 1.0)	(17.0, 41.0)	(18.0, 247.0)	(19.0, 1414.0)	(20.0, 7264.0)	(21.0, 22062.0)	(22.0, 42870.0)	(23.0, 58177.0)	(24.0, 74811.0)	(25.0, 84450.0)	(26.0, 99645.0)	(27.0, 114749.0)	(28.0, 145952.0)	(29.0, 177584.0)	(30.0, 229012.0)	(31.0, 288278.0)	(32.0, 385784.0)	(33.0, 500176.0)	(34.0, 707004.0)	(35.0, 1026688.0)	(36.0, 1738757.0)	(37.0, 3182848.0)	(38.0, 9322376.0)	(39.0, 55568617.0)	(40.0, 11885180.0)					
GFP_2_R1_paired	(19.0, 7.0)	(20.0, 342.0)	(21.0, 3632.0)	(22.0, 14172.0)	(23.0, 28998.0)	(24.0, 49850.0)	(25.0, 71953.0)	(26.0, 101690.0)	(27.0, 135929.0)	(28.0, 189737.0)	(29.0, 248899.0)	(30.0, 336929.0)	(31.0, 437746.0)	(32.0, 610236.0)	(33.0, 830912.0)	(34.0, 1180519.0)	(35.0, 1823692.0)	(36.0, 3569978.0)	(37.0, 6176903.0)	(38.0, 15693531.0)	(39.0, 51138878.0)	(40.0, 8046846.0)								
GFP_2_R2_paired	(17.0, 22.0)	(18.0, 178.0)	(19.0, 822.0)	(20.0, 4347.0)	(21.0, 13734.0)	(22.0, 27212.0)	(23.0, 37554.0)	(24.0, 48942.0)	(25.0, 56594.0)	(26.0, 68229.0)	(27.0, 80862.0)	(28.0, 105855.0)	(29.0, 131975.0)	(30.0, 173932.0)	(31.0, 222468.0)	(32.0, 302473.0)	(33.0, 397373.0)	(34.0, 568488.0)	(35.0, 836987.0)	(36.0, 1448659.0)	(37.0, 2726097.0)	(38.0, 7966572.0)	(39.0, 57445779.0)	(40.0, 18026225.0)						
