Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
GFP-1_R1_paired	(1.0, 30.567750249339575)	(2.0, 12.37017626118943)	(3.0, 12.242733198515895)	(4.0, 10.956788469782829)	(5.0, 9.048280749924293)	(6.0, 6.879323592768538)	(7.0, 5.01514595005463)	(8.0, 3.364129406497799)	(9.0, 2.293545850603809)	('>10', 6.692895590761708)	('>50', 0.2898352120856079)	('>100', 0.2398360515082422)	('>500', 0.027684256639070547)	('>1k', 0.011875160328599673)	('>5k', 0.0)	('>10k+', 0.0)
GFP-1_R2_paired	(1.0, 18.391411896452613)	(2.0, 13.995507519884148)	(3.0, 14.379701548074921)	(4.0, 12.737548056836806)	(5.0, 10.76195962797103)	(6.0, 8.070698391308783)	(7.0, 6.061064099775951)	(8.0, 4.069080139563798)	(9.0, 2.8023815880733127)	('>10', 7.935216375961668)	('>50', 0.332019544764862)	('>100', 0.3169057007775953)	('>500', 0.02478173605989875)	('>1k', 0.01604671897918435)	('>5k', 0.0)	('>10k+', 0.1056770555152568)
GFP-2_R1_paired	(1.0, 21.654950153418074)	(2.0, 4.208986965878582)	(3.0, 4.418612796877901)	(4.0, 4.798940327284405)	(5.0, 5.198649837351176)	(6.0, 5.379250541266621)	(7.0, 5.598000099071615)	(8.0, 5.334411123192713)	(9.0, 5.055524554936802)	('>10', 37.68266084411924)	('>50', 0.3195920968365237)	('>100', 0.28740269171443433)	('>500', 0.044813398189462186)	('>1k', 0.018204569862474016)	('>5k', 0.0)	('>10k+', 0.0)
GFP-2_R2_paired	(1.0, 9.129050748760681)	(2.0, 4.377137366085891)	(3.0, 4.880002704527557)	(4.0, 5.362519630324749)	(5.0, 6.008915110386194)	(6.0, 6.2135526187341625)	(7.0, 6.185090214254354)	(8.0, 6.127661405561335)	(9.0, 5.821610005785898)	('>10', 45.04137856871559)	('>50', 0.4065266132584318)	('>100', 0.31607386904278606)	('>500', 0.03990102249118975)	('>1k', 0.026246198129258855)	('>5k', 0.0)	('>10k+', 0.0643339239419115)
GFP-3_R1_paired	(1.0, 29.353505413574798)	(2.0, 14.648731795514896)	(3.0, 13.344051120538424)	(4.0, 10.90396097588541)	(5.0, 8.568522486206898)	(6.0, 6.0199035562780505)	(7.0, 4.310543871276754)	(8.0, 2.9203618025075686)	(9.0, 1.929175553205359)	('>10', 6.9951112270446645)	('>50', 0.5111264767480096)	('>100', 0.4061989126206342)	('>500', 0.053541685731561525)	('>1k', 0.03526512286704539)	('>5k', 0.0)	('>10k+', 0.0)
GFP-3_R2_paired	(1.0, 22.10056534575335)	(2.0, 15.938433016164034)	(3.0, 14.587416097749195)	(4.0, 12.200291333361472)	(5.0, 9.467664737924276)	(6.0, 6.694465806138219)	(7.0, 4.755082327272705)	(8.0, 3.1461480262851262)	(9.0, 2.1875468328071577)	('>10', 7.732937867583953)	('>50', 0.555854934759348)	('>100', 0.41303075993887317)	('>500', 0.07401548582831721)	('>1k', 0.03310483206580959)	('>5k', 0.0)	('>10k+', 0.11344259636808618)
GFP_1_R1_paired	(1.0, 33.33012027352552)	(2.0, 12.506773329897966)	(3.0, 11.942837569715715)	(4.0, 10.584554548941657)	(5.0, 8.682544812577477)	(6.0, 6.478022805043973)	(7.0, 4.589298002945555)	(8.0, 3.157215961697931)	(9.0, 2.1053999782346797)	('>10', 6.093429574309473)	('>50', 0.2723301326583741)	('>100', 0.22377603479097852)	('>500', 0.021971728446273098)	('>1k', 0.01172524721442417)	('>5k', 0.0)	('>10k+', 0.0)
GFP_1_R2_paired	(1.0, 20.013768708113016)	(2.0, 14.018359738691458)	(3.0, 14.209151470989879)	(4.0, 12.558465352442063)	(5.0, 10.580229094115639)	(6.0, 7.805159335481633)	(7.0, 5.832802964415638)	(8.0, 3.9521822691833797)	(9.0, 2.706078594336322)	('>10', 7.55989393326373)	('>50', 0.3186261394120466)	('>100', 0.30354660181512266)	('>500', 0.03514036332092543)	('>1k', 0.0336690247121821)	('>5k', 0.0)	('>10k+', 0.07292640970697248)
GFP_2_R1_paired	(1.0, 24.158580965541503)	(2.0, 4.741036567997773)	(3.0, 4.4955822285488765)	(4.0, 4.73246675766876)	(5.0, 5.14820950981028)	(6.0, 5.282907083522114)	(7.0, 5.414758893165971)	(8.0, 5.188967279609777)	(9.0, 4.81891937550989)	('>10', 35.388825384073236)	('>50', 0.30325425779235904)	('>100', 0.2653231725655501)	('>500', 0.04320107206461385)	('>1k', 0.01796745212913649)	('>5k', 0.0)	('>10k+', 0.0)
GFP_2_R2_paired	(1.0, 10.461563772915381)	(2.0, 4.467407777768274)	(3.0, 4.864936623502283)	(4.0, 5.362468516575191)	(5.0, 5.9442306960553335)	(6.0, 6.203694021076474)	(7.0, 6.103421032816455)	(8.0, 6.054922065954412)	(9.0, 5.742789476181504)	('>10', 43.95636930660684)	('>50', 0.4014370999064222)	('>100', 0.30807510453191356)	('>500', 0.04557342457403692)	('>1k', 0.0279407440551403)	('>5k', 0.0)	('>10k+', 0.055170337480354006)
GFP_3_R1_paired	(1.0, 32.33294612732326)	(2.0, 14.749689347197876)	(3.0, 12.9286509914242)	(4.0, 10.53370856919187)	(5.0, 8.038561819604729)	(6.0, 5.648088516090685)	(7.0, 3.9991681502780914)	(8.0, 2.6475382277287736)	(9.0, 1.7231103160450238)	('>10', 6.461856940441332)	('>50', 0.46732490461125514)	('>100', 0.3912444224088241)	('>500', 0.047480315998772636)	('>1k', 0.03063135165540074)	('>5k', 0.0)	('>10k+', 0.0)
GFP_3_R2_paired	(1.0, 24.006186458874872)	(2.0, 15.9131014582639)	(3.0, 14.396098610743083)	(4.0, 11.865347774789326)	(5.0, 9.227398315237517)	(6.0, 6.463059047511202)	(7.0, 4.535836139189482)	(8.0, 3.018223729504492)	(9.0, 2.056193756297257)	('>10', 7.389876704184398)	('>50', 0.530104016640938)	('>100', 0.39418597681162604)	('>500', 0.0743576133817664)	('>1k', 0.05111813250242722)	('>5k', 0.0)	('>10k+', 0.07891226606762343)
YAF-1_R1_paired	(1.0, 20.256180892667278)	(2.0, 2.559939115120912)	(3.0, 2.437695660583149)	(4.0, 2.5272336911870754)	(5.0, 2.7337956324513577)	(6.0, 2.923739544758793)	(7.0, 3.140684681197073)	(8.0, 3.1871551097252717)	(9.0, 3.34788913147653)	('>10', 52.07901828904049)	('>50', 2.366598798133681)	('>100', 1.9994618058901144)	('>500', 0.20291958403329105)	('>1k', 0.21475230593071643)	('>5k', 0.022935757804304152)	('>10k+', 0.0)
YAF-1_R2_paired	(1.0, 6.9868204896579575)	(2.0, 2.4101923038248225)	(3.0, 2.633738777985392)	(4.0, 2.893106066564399)	(5.0, 3.1982405410277295)	(6.0, 3.3553373605849326)	(7.0, 3.5413116615877183)	(8.0, 3.7601730220383045)	(9.0, 3.8583938113254015)	('>10', 61.642498927165)	('>50', 2.7871618901492816)	('>100', 2.3894248644520215)	('>500', 0.23461662376058376)	('>1k', 0.22962729581797467)	('>5k', 0.02222265937229959)	('>10k+', 0.05713370468600431)
