Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
GFP-1_R1_paired	(149, 55.0)	(150, 85886337.0)																																				
GFP-1_R2_paired	(76, 34130.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)	(102, 0.0)	(104, 0.0)	(106, 0.0)	(108, 0.0)	(110, 0.0)	(112, 0.0)	(114, 0.0)	(116, 0.0)	(118, 37439.0)	(120, 0.0)	(122, 0.0)	(124, 0.0)	(126, 0.0)	(128, 0.0)	(130, 0.0)	(132, 0.0)	(134, 0.0)	(136, 0.0)	(138, 0.0)	(140, 0.0)	(142, 0.0)	(144, 0.0)	(146, 0.0)	(148, 22373.0)	(150, 85792450.0)
GFP-2_R1_paired	(149, 62.0)	(150, 90868121.0)																																				
GFP-2_R2_paired	(76, 36969.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)	(102, 0.0)	(104, 0.0)	(106, 0.0)	(108, 0.0)	(110, 0.0)	(112, 0.0)	(114, 0.0)	(116, 0.0)	(118, 40192.0)	(120, 0.0)	(122, 0.0)	(124, 0.0)	(126, 0.0)	(128, 0.0)	(130, 0.0)	(132, 0.0)	(134, 0.0)	(136, 0.0)	(138, 0.0)	(140, 0.0)	(142, 0.0)	(144, 0.0)	(146, 0.0)	(148, 23740.0)	(150, 90767282.0)
GFP-3_R1_paired	(149, 65.0)	(150, 76072004.0)																																				
GFP-3_R2_paired	(76, 32561.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)	(102, 0.0)	(104, 0.0)	(106, 0.0)	(108, 0.0)	(110, 0.0)	(112, 0.0)	(114, 0.0)	(116, 0.0)	(118, 35072.0)	(120, 0.0)	(122, 0.0)	(124, 0.0)	(126, 0.0)	(128, 0.0)	(130, 0.0)	(132, 0.0)	(134, 0.0)	(136, 0.0)	(138, 0.0)	(140, 0.0)	(142, 0.0)	(144, 0.0)	(146, 0.0)	(148, 21106.0)	(150, 75983330.0)
GFP_1_R1_paired	(25, 73736.0)	(30, 74269.0)	(35, 73289.0)	(40, 73400.0)	(45, 73659.0)	(50, 71993.0)	(55, 67035.0)	(60, 66811.0)	(65, 68961.0)	(70, 72595.0)	(75, 78035.0)	(80, 110624.0)	(85, 248912.0)	(90, 578957.0)	(95, 1524970.0)	(100, 1947495.0)	(105, 2730545.0)	(110, 2738187.0)	(115, 2375028.0)	(120, 2162785.0)	(125, 1595855.0)	(130, 1384001.0)	(135, 1044729.0)	(140, 931001.0)	(145, 4347859.0)	(150, 61149256.0)												
GFP_1_R2_paired	(25, 81645.0)	(30, 69773.0)	(35, 63993.0)	(40, 61215.0)	(45, 59800.0)	(50, 59866.0)	(55, 59608.0)	(60, 61322.0)	(65, 61551.0)	(70, 63165.0)	(75, 63974.0)	(80, 65770.0)	(85, 66020.0)	(90, 69381.0)	(95, 75668.0)	(100, 87663.0)	(105, 123129.0)	(110, 129357.0)	(115, 166884.0)	(120, 127281.0)	(125, 140740.0)	(130, 117313.0)	(135, 111700.0)	(140, 108422.0)	(145, 3094183.0)	(150, 80474564.0)												
GFP_2_R1_paired	(25, 61591.0)	(30, 63458.0)	(35, 65354.0)	(40, 67056.0)	(45, 68061.0)	(50, 67411.0)	(55, 63270.0)	(60, 63538.0)	(65, 66352.0)	(70, 70276.0)	(75, 79847.0)	(80, 129780.0)	(85, 277155.0)	(90, 619587.0)	(95, 964253.0)	(100, 1289466.0)	(105, 1583870.0)	(110, 1369555.0)	(115, 1498082.0)	(120, 1123041.0)	(125, 1068483.0)	(130, 826686.0)	(135, 778315.0)	(140, 645389.0)	(145, 4622956.0)	(150, 73158547.0)												
GFP_2_R2_paired	(25, 55477.0)	(30, 48878.0)	(35, 46327.0)	(40, 46439.0)	(45, 46585.0)	(50, 48430.0)	(55, 49270.0)	(60, 51896.0)	(65, 52910.0)	(70, 54799.0)	(75, 55184.0)	(80, 57103.0)	(85, 57895.0)	(90, 59292.0)	(95, 62831.0)	(100, 70217.0)	(105, 86348.0)	(110, 97620.0)	(115, 111060.0)	(120, 93352.0)	(125, 104200.0)	(130, 91586.0)	(135, 91423.0)	(140, 90808.0)	(145, 2622806.0)	(150, 86438643.0)												
