Sample,TotalRawReads,TotalCleanReads,MeanDuplicationRate
GFP_1,85886392,85663987,
GFP_2,90868183,90691379,
GFP_3,76072069,75858346,
YAF_1,90582312,90403561,
YAF_2,132932421,113889854,
YAF_3,94268086,94049779,
