Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34
GFP_3_R1_001	(16.0, 5.0)	(17.0, 251.0)	(18.0, 4169.0)	(19.0, 22735.0)	(20.0, 55914.0)	(21.0, 78423.0)	(22.0, 97236.0)	(23.0, 112569.0)	(24.0, 137264.0)	(25.0, 163499.0)	(26.0, 206121.0)	(27.0, 250255.0)	(28.0, 336732.0)	(29.0, 452462.0)	(30.0, 688388.0)	(31.0, 1220156.0)	(32.0, 3151647.0)	(33.0, 6133597.0)	(34.0, 6360218.0)	(35.0, 4048926.0)	(36.0, 2930871.0)	(37.0, 3537843.0)	(38.0, 6762403.0)	(39.0, 32418366.0)	(40.0, 6902019.0)										
GFP_3_R2_001	(6.0, 2.0)	(7.0, 463.0)	(8.0, 1743.0)	(9.0, 1974.0)	(10.0, 2129.0)	(11.0, 2378.0)	(12.0, 3634.0)	(13.0, 4279.0)	(14.0, 4344.0)	(15.0, 5832.0)	(16.0, 14829.0)	(17.0, 16815.0)	(18.0, 41734.0)	(19.0, 72981.0)	(20.0, 101184.0)	(21.0, 105769.0)	(22.0, 106890.0)	(23.0, 110900.0)	(24.0, 127238.0)	(25.0, 139208.0)	(26.0, 160046.0)	(27.0, 176860.0)	(28.0, 205779.0)	(29.0, 233820.0)	(30.0, 276121.0)	(31.0, 311997.0)	(32.0, 390792.0)	(33.0, 482242.0)	(34.0, 662212.0)	(35.0, 939619.0)	(36.0, 1584520.0)	(37.0, 2898950.0)	(38.0, 8863358.0)	(39.0, 48727267.0)	(40.0, 9294160.0)
YAF-1_R1_001	(16.0, 4.0)	(17.0, 282.0)	(18.0, 5723.0)	(19.0, 30437.0)	(20.0, 70638.0)	(21.0, 96934.0)	(22.0, 118356.0)	(23.0, 136140.0)	(24.0, 164887.0)	(25.0, 191045.0)	(26.0, 236249.0)	(27.0, 280281.0)	(28.0, 362601.0)	(29.0, 469075.0)	(30.0, 689424.0)	(31.0, 1140621.0)	(32.0, 2778561.0)	(33.0, 5351706.0)	(34.0, 5472505.0)	(35.0, 3989688.0)	(36.0, 3795387.0)	(37.0, 4944200.0)	(38.0, 9861108.0)	(39.0, 42397578.0)	(40.0, 7998882.0)										
YAF-1_R2_001	(6.0, 2.0)	(7.0, 418.0)	(8.0, 1849.0)	(9.0, 2222.0)	(10.0, 2558.0)	(11.0, 2703.0)	(12.0, 4052.0)	(13.0, 4934.0)	(14.0, 4942.0)	(15.0, 6301.0)	(16.0, 16337.0)	(17.0, 14039.0)	(18.0, 32912.0)	(19.0, 53988.0)	(20.0, 70780.0)	(21.0, 70890.0)	(22.0, 74554.0)	(23.0, 81508.0)	(24.0, 97193.0)	(25.0, 108921.0)	(26.0, 127596.0)	(27.0, 141037.0)	(28.0, 166116.0)	(29.0, 188926.0)	(30.0, 227451.0)	(31.0, 252912.0)	(32.0, 321352.0)	(33.0, 401521.0)	(34.0, 564450.0)	(35.0, 822687.0)	(36.0, 1430357.0)	(37.0, 2718492.0)	(38.0, 8456696.0)	(39.0, 57348276.0)	(40.0, 16763340.0)
YAF-2_R1_001	(16.0, 8.0)	(17.0, 362.0)	(18.0, 8351.0)	(19.0, 47328.0)	(20.0, 109346.0)	(21.0, 141674.0)	(22.0, 174699.0)	(23.0, 210610.0)	(24.0, 273208.0)	(25.0, 340498.0)	(26.0, 455926.0)	(27.0, 601965.0)	(28.0, 891504.0)	(29.0, 1338115.0)	(30.0, 2306034.0)	(31.0, 5187209.0)	(32.0, 15049760.0)	(33.0, 24334681.0)	(34.0, 16860212.0)	(35.0, 8251819.0)	(36.0, 4887318.0)	(37.0, 5466577.0)	(38.0, 7766138.0)	(39.0, 31007250.0)	(40.0, 7221829.0)										
YAF-2_R2_001	(6.0, 17.0)	(7.0, 663.0)	(8.0, 2415.0)	(9.0, 2960.0)	(10.0, 3634.0)	(11.0, 4384.0)	(12.0, 6769.0)	(13.0, 8101.0)	(14.0, 8327.0)	(15.0, 11544.0)	(16.0, 25748.0)	(17.0, 22408.0)	(18.0, 55262.0)	(19.0, 92529.0)	(20.0, 123620.0)	(21.0, 126560.0)	(22.0, 132433.0)	(23.0, 142930.0)	(24.0, 166441.0)	(25.0, 185836.0)	(26.0, 218536.0)	(27.0, 244573.0)	(28.0, 291468.0)	(29.0, 334118.0)	(30.0, 398349.0)	(31.0, 449537.0)	(32.0, 570187.0)	(33.0, 715728.0)	(34.0, 999228.0)	(35.0, 1428771.0)	(36.0, 2391028.0)	(37.0, 4522511.0)	(38.0, 16382670.0)	(39.0, 90613732.0)	(40.0, 12249404.0)
YAF-3_R1_001	(16.0, 4.0)	(17.0, 347.0)	(18.0, 6765.0)	(19.0, 35803.0)	(20.0, 83475.0)	(21.0, 112634.0)	(22.0, 135605.0)	(23.0, 155624.0)	(24.0, 191765.0)	(25.0, 226391.0)	(26.0, 284370.0)	(27.0, 348237.0)	(28.0, 465418.0)	(29.0, 625003.0)	(30.0, 938449.0)	(31.0, 1620490.0)	(32.0, 4084341.0)	(33.0, 8223160.0)	(34.0, 8891725.0)	(35.0, 5910614.0)	(36.0, 4112604.0)	(37.0, 4783434.0)	(38.0, 8761250.0)	(39.0, 37351932.0)	(40.0, 6918646.0)										
YAF-3_R2_001	(6.0, 9.0)	(7.0, 466.0)	(8.0, 1877.0)	(9.0, 2284.0)	(10.0, 2746.0)	(11.0, 3178.0)	(12.0, 4506.0)	(13.0, 5515.0)	(14.0, 5574.0)	(15.0, 7573.0)	(16.0, 17942.0)	(17.0, 16092.0)	(18.0, 40144.0)	(19.0, 69517.0)	(20.0, 94446.0)	(21.0, 96626.0)	(22.0, 100331.0)	(23.0, 107154.0)	(24.0, 124330.0)	(25.0, 137663.0)	(26.0, 160473.0)	(27.0, 178769.0)	(28.0, 211276.0)	(29.0, 239635.0)	(30.0, 287498.0)	(31.0, 324353.0)	(32.0, 408421.0)	(33.0, 511457.0)	(34.0, 711806.0)	(35.0, 1019566.0)	(36.0, 1732610.0)	(37.0, 3244400.0)	(38.0, 10404952.0)	(39.0, 61001485.0)	(40.0, 12993412.0)
YAF_1_R1_001	(16.0, 4.0)	(17.0, 282.0)	(18.0, 5723.0)	(19.0, 30437.0)	(20.0, 70638.0)	(21.0, 96934.0)	(22.0, 118356.0)	(23.0, 136140.0)	(24.0, 164887.0)	(25.0, 191045.0)	(26.0, 236249.0)	(27.0, 280281.0)	(28.0, 362601.0)	(29.0, 469075.0)	(30.0, 689424.0)	(31.0, 1140621.0)	(32.0, 2778561.0)	(33.0, 5351706.0)	(34.0, 5472505.0)	(35.0, 3989688.0)	(36.0, 3795387.0)	(37.0, 4944200.0)	(38.0, 9861108.0)	(39.0, 42397578.0)	(40.0, 7998882.0)										
YAF_1_R2_001	(6.0, 2.0)	(7.0, 418.0)	(8.0, 1849.0)	(9.0, 2222.0)	(10.0, 2558.0)	(11.0, 2703.0)	(12.0, 4052.0)	(13.0, 4934.0)	(14.0, 4942.0)	(15.0, 6301.0)	(16.0, 16337.0)	(17.0, 14039.0)	(18.0, 32912.0)	(19.0, 53988.0)	(20.0, 70780.0)	(21.0, 70890.0)	(22.0, 74554.0)	(23.0, 81508.0)	(24.0, 97193.0)	(25.0, 108921.0)	(26.0, 127596.0)	(27.0, 141037.0)	(28.0, 166116.0)	(29.0, 188926.0)	(30.0, 227451.0)	(31.0, 252912.0)	(32.0, 321352.0)	(33.0, 401521.0)	(34.0, 564450.0)	(35.0, 822687.0)	(36.0, 1430357.0)	(37.0, 2718492.0)	(38.0, 8456696.0)	(39.0, 57348276.0)	(40.0, 16763340.0)
YAF_2_R1_001	(16.0, 8.0)	(17.0, 362.0)	(18.0, 8351.0)	(19.0, 47328.0)	(20.0, 109346.0)	(21.0, 141674.0)	(22.0, 174699.0)	(23.0, 210610.0)	(24.0, 273208.0)	(25.0, 340498.0)	(26.0, 455926.0)	(27.0, 601965.0)	(28.0, 891504.0)	(29.0, 1338115.0)	(30.0, 2306034.0)	(31.0, 5187209.0)	(32.0, 15049760.0)	(33.0, 24334681.0)	(34.0, 16860212.0)	(35.0, 8251819.0)	(36.0, 4887318.0)	(37.0, 5466577.0)	(38.0, 7766138.0)	(39.0, 31007250.0)	(40.0, 7221829.0)										
YAF_2_R2_001	(6.0, 17.0)	(7.0, 663.0)	(8.0, 2415.0)	(9.0, 2960.0)	(10.0, 3634.0)	(11.0, 4384.0)	(12.0, 6769.0)	(13.0, 8101.0)	(14.0, 8327.0)	(15.0, 11544.0)	(16.0, 25748.0)	(17.0, 22408.0)	(18.0, 55262.0)	(19.0, 92529.0)	(20.0, 123620.0)	(21.0, 126560.0)	(22.0, 132433.0)	(23.0, 142930.0)	(24.0, 166441.0)	(25.0, 185836.0)	(26.0, 218536.0)	(27.0, 244573.0)	(28.0, 291468.0)	(29.0, 334118.0)	(30.0, 398349.0)	(31.0, 449537.0)	(32.0, 570187.0)	(33.0, 715728.0)	(34.0, 999228.0)	(35.0, 1428771.0)	(36.0, 2391028.0)	(37.0, 4522511.0)	(38.0, 16382670.0)	(39.0, 90613732.0)	(40.0, 12249404.0)
YAF_3_R1_001	(16.0, 4.0)	(17.0, 347.0)	(18.0, 6765.0)	(19.0, 35803.0)	(20.0, 83475.0)	(21.0, 112634.0)	(22.0, 135605.0)	(23.0, 155624.0)	(24.0, 191765.0)	(25.0, 226391.0)	(26.0, 284370.0)	(27.0, 348237.0)	(28.0, 465418.0)	(29.0, 625003.0)	(30.0, 938449.0)	(31.0, 1620490.0)	(32.0, 4084341.0)	(33.0, 8223160.0)	(34.0, 8891725.0)	(35.0, 5910614.0)	(36.0, 4112604.0)	(37.0, 4783434.0)	(38.0, 8761250.0)	(39.0, 37351932.0)	(40.0, 6918646.0)										
YAF_3_R2_001	(6.0, 9.0)	(7.0, 466.0)	(8.0, 1877.0)	(9.0, 2284.0)	(10.0, 2746.0)	(11.0, 3178.0)	(12.0, 4506.0)	(13.0, 5515.0)	(14.0, 5574.0)	(15.0, 7573.0)	(16.0, 17942.0)	(17.0, 16092.0)	(18.0, 40144.0)	(19.0, 69517.0)	(20.0, 94446.0)	(21.0, 96626.0)	(22.0, 100331.0)	(23.0, 107154.0)	(24.0, 124330.0)	(25.0, 137663.0)	(26.0, 160473.0)	(27.0, 178769.0)	(28.0, 211276.0)	(29.0, 239635.0)	(30.0, 287498.0)	(31.0, 324353.0)	(32.0, 408421.0)	(33.0, 511457.0)	(34.0, 711806.0)	(35.0, 1019566.0)	(36.0, 1732610.0)	(37.0, 3244400.0)	(38.0, 10404952.0)	(39.0, 61001485.0)	(40.0, 12993412.0)
