Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
GFP-1_R1_001	(1.0, 30.567750249339575)	(2.0, 12.37017626118943)	(3.0, 12.242733198515895)	(4.0, 10.956788469782829)	(5.0, 9.048280749924293)	(6.0, 6.879323592768538)	(7.0, 5.01514595005463)	(8.0, 3.364129406497799)	(9.0, 2.293545850603809)	('>10', 6.692895590761708)	('>50', 0.2898352120856079)	('>100', 0.2398360515082422)	('>500', 0.027684256639070547)	('>1k', 0.011875160328599673)	('>5k', 0.0)	('>10k+', 0.0)
GFP-1_R2_001	(1.0, 18.391414807763333)	(2.0, 13.995509735335101)	(3.0, 14.379703824342752)	(4.0, 12.737550073156184)	(5.0, 10.761961331560109)	(6.0, 8.071698765148467)	(7.0, 6.060065378365159)	(8.0, 4.069080783688169)	(9.0, 2.8023820316827317)	('>10', 7.935216455389943)	('>50', 0.3320195973226572)	('>100', 0.3169045110667332)	('>500', 0.024781739982780486)	('>1k', 0.016046721519336525)	('>5k', 0.0)	('>10k+', 0.10566424367637779)
GFP-2_R1_001	(1.0, 21.654950153418074)	(2.0, 4.208986965878582)	(3.0, 4.418612796877901)	(4.0, 4.798940327284405)	(5.0, 5.198649837351176)	(6.0, 5.379250541266621)	(7.0, 5.598000099071615)	(8.0, 5.334411123192713)	(9.0, 5.055524554936802)	('>10', 37.68266084411924)	('>50', 0.3195920968365237)	('>100', 0.28740269171443433)	('>500', 0.044813398189462186)	('>1k', 0.018204569862474016)	('>5k', 0.0)	('>10k+', 0.0)
GFP-2_R2_001	(1.0, 9.129052471178492)	(2.0, 4.377138191939483)	(3.0, 4.880003625258947)	(4.0, 5.362520642094711)	(5.0, 6.008916244114411)	(6.0, 6.213553791072228)	(7.0, 6.1850913812222945)	(8.0, 6.127662561693932)	(9.0, 5.8226093228137055)	('>10', 45.040387182395854)	('>50', 0.40652556200373413)	('>100', 0.31607328970777615)	('>500', 0.03990103001948965)	('>1k', 0.026246203081243504)	('>5k', 0.0)	('>10k+', 0.06431850140369959)
GFP-3_R1_001	(1.0, 29.353505413574798)	(2.0, 14.648731795514896)	(3.0, 13.344051120538424)	(4.0, 10.90396097588541)	(5.0, 8.568522486206898)	(6.0, 6.0199035562780505)	(7.0, 4.310543871276754)	(8.0, 2.9203618025075686)	(9.0, 1.929175553205359)	('>10', 6.9951112270446645)	('>50', 0.5111264767480096)	('>100', 0.4061989126206342)	('>500', 0.053541685731561525)	('>1k', 0.03526512286704539)	('>5k', 0.0)	('>10k+', 0.0)
GFP-3_R2_001	(1.0, 22.10057161552779)	(2.0, 15.938437537785017)	(3.0, 14.58742023609621)	(4.0, 12.200294794498035)	(5.0, 9.467667423833955)	(6.0, 6.69546643240407)	(7.0, 4.7550836762560085)	(8.0, 3.1451488714891944)	(9.0, 2.188548161291439)	('>10', 7.731937369479007)	('>50', 0.5558544185462096)	('>100', 0.4130301774229914)	('>500', 0.07401550682598826)	('>1k', 0.03310484145741685)	('>5k', 0.0)	('>10k+', 0.11341893708658184)
GFP_1_R1_001	(1.0, 30.567750249339575)	(2.0, 12.37017626118943)	(3.0, 12.242733198515895)	(4.0, 10.956788469782829)	(5.0, 9.048280749924293)	(6.0, 6.879323592768538)	(7.0, 5.01514595005463)	(8.0, 3.364129406497799)	(9.0, 2.293545850603809)	('>10', 6.692895590761708)	('>50', 0.2898352120856079)	('>100', 0.2398360515082422)	('>500', 0.027684256639070547)	('>1k', 0.011875160328599673)	('>5k', 0.0)	('>10k+', 0.0)
GFP_1_R2_001	(1.0, 18.391414807763333)	(2.0, 13.995509735335101)	(3.0, 14.379703824342752)	(4.0, 12.737550073156184)	(5.0, 10.761961331560109)	(6.0, 8.071698765148467)	(7.0, 6.060065378365159)	(8.0, 4.069080783688169)	(9.0, 2.8023820316827317)	('>10', 7.935216455389943)	('>50', 0.3320195973226572)	('>100', 0.3169045110667332)	('>500', 0.024781739982780486)	('>1k', 0.016046721519336525)	('>5k', 0.0)	('>10k+', 0.10566424367637779)
GFP_2_R1_001	(1.0, 21.654950153418074)	(2.0, 4.208986965878582)	(3.0, 4.418612796877901)	(4.0, 4.798940327284405)	(5.0, 5.198649837351176)	(6.0, 5.379250541266621)	(7.0, 5.598000099071615)	(8.0, 5.334411123192713)	(9.0, 5.055524554936802)	('>10', 37.68266084411924)	('>50', 0.3195920968365237)	('>100', 0.28740269171443433)	('>500', 0.044813398189462186)	('>1k', 0.018204569862474016)	('>5k', 0.0)	('>10k+', 0.0)
GFP_2_R2_001	(1.0, 9.129052471178492)	(2.0, 4.377138191939483)	(3.0, 4.880003625258947)	(4.0, 5.362520642094711)	(5.0, 6.008916244114411)	(6.0, 6.213553791072228)	(7.0, 6.1850913812222945)	(8.0, 6.127662561693932)	(9.0, 5.8226093228137055)	('>10', 45.040387182395854)	('>50', 0.40652556200373413)	('>100', 0.31607328970777615)	('>500', 0.03990103001948965)	('>1k', 0.026246203081243504)	('>5k', 0.0)	('>10k+', 0.06431850140369959)
