Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
GFP-1_R1_001	(1, 6.170942656433862e-05)	(2, 0.1049723919011524)	(3, 0.01962476197626278)	(4, 0.0006578457737519117)	(5, 0.11826902683256273)	(6, 0.0002154008285736348)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00020422327206386784)	(15, 8.033868741395028e-05)	(20, 0.00012295312160743696)	(25, 0.008278377790046181)	(30, 0.006889100662186392)	(35, 0.024171698818131748)	(40, 0.00014134951669642846)	(45, 0.00010362526347596487)	(50, 0.024652100882291108)	(55, 0.0001068853841246469)	(60, 8.70917944719345e-05)	(65, 0.0004422120794176568)	(70, 0.0002461391089754941)	(75, 0.01810577861973757)	(80, 0.00011247416237953039)	(85, 0.00017837517263503164)	(90, 0.00011503568574635198)	(95, 0.009274344648218543)	(100, 0.00035698321103068344)	(105, 6.473668145240052e-05)	(110, 4.214870267224638e-05)	(115, 0.0001776765753531712)	(120, 0.0002915479322964225)	(125, 0.000461772803309749)	(130, 0.00035209303005766035)	(135, 1.2341885312867725e-05)	(140, 0.00042800726801982785)	(145, 0.00011876153791627432)	(150, 2.3286576062014575e-06)
GFP-1_R2_001	(1, 0.10937937642088866)	(2, 0.17553071736905657)	(3, 0.08332984810911605)	(4, 0.08380140127437186)	(5, 0.08332984810911605)	(6, 0.08365353151637805)	(7, 0.35191023043557357)	(8, 0.08334032706834396)	(9, 0.08332984810911605)	(10, 0.08387312392864285)	(15, 0.08371593954022424)	(20, 0.08392109427533061)	(25, 0.08366261328104224)	(30, 0.07485749314047328)	(35, 0.06627010248608417)	(40, 0.03988990479423096)	(45, 0.03993694367787624)	(50, 0.039892233451837164)	(55, 0.03998700981640956)	(60, 0.040390566179564276)	(65, 0.03983378414592151)	(70, 0.04018378138413359)	(75, 0.024206395816464152)	(80, 0.0242543661631519)	(85, 0.016044683772488664)	(90, 0.008487724108843691)	(95, 0.000124583181931778)	(100, 0.01626264612442912)	(105, 0.00806926433700929)	(110, 0.00019537437316030225)	(115, 0.01647199244322663)	(120, 0.0005502617923454044)	(125, 0.0081803413048251)	(130, 0.0007416774475751642)	(135, 0.00015043128136061414)	(140, 5.216193037891264e-05)	(145, 0.008142151320083396)	(150, 0.0)
GFP-2_R1_001	(1, 6.823070292931906e-05)	(2, 0.10622309901365587)	(3, 0.02029863412147242)	(4, 0.0006514931634541432)	(5, 0.11518993397281863)	(6, 0.00021019458483064417)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0002308838947511474)	(15, 8.077634830664546e-05)	(20, 0.00011973387868886958)	(25, 0.008508368655286086)	(30, 0.0072667899610141876)	(35, 0.024873832901445823)	(40, 0.0001459256646520598)	(45, 0.00011379120456276759)	(50, 0.025133989968744067)	(55, 0.00010366664864422348)	(60, 0.00010278625247739354)	(65, 0.0004454804604159412)	(70, 0.00025531488838067775)	(75, 0.01758921491805333)	(80, 0.000108949025645203)	(85, 0.00017960081803330435)	(90, 0.00011203041222910774)	(95, 0.00894922703582617)	(100, 0.0003728477766524725)	(105, 8.077634830664546e-05)	(110, 5.2163472884672957e-05)	(115, 0.00021063478291405917)	(120, 0.0003123205401829153)	(125, 0.00045758590770985264)	(130, 0.0003772497574866221)	(135, 1.2105447293911447e-05)	(140, 0.0004690310578786417)	(145, 0.00012655694898180148)	(150, 0.0)
GFP-2_R2_001	(1, 0.1110410670366326)	(2, 0.17694422259989506)	(3, 0.08491531078595464)	(4, 0.08531258955623663)	(5, 0.08491531078595464)	(6, 0.08534450391728422)	(7, 0.34528147217381905)	(8, 0.08493291870929123)	(9, 0.08491531078595464)	(10, 0.08546027601322237)	(15, 0.08534340342207569)	(20, 0.08552542532956778)	(25, 0.08524347845714049)	(30, 0.0763290270699041)	(35, 0.06762102858378932)	(40, 0.04086138709299381)	(45, 0.040904086307085065)	(50, 0.04085258313132552)	(55, 0.04096835522726365)	(60, 0.04132447547674636)	(65, 0.040788974508272055)	(70, 0.04114069277692061)	(75, 0.024805382099474797)	(80, 0.024836636163397256)	(85, 0.01645064257530053)	(90, 0.008691270958945002)	(95, 0.0001630933899052433)	(100, 0.016651593000379463)	(105, 0.008266259709407857)	(110, 0.00021987894266577333)	(115, 0.01691395105809478)	(120, 0.0005874443423172663)	(125, 0.008390615667972584)	(130, 0.0007868540741042439)	(135, 0.00017387824294890986)	(140, 5.370416617662532e-05)	(145, 0.008352758632798897)	(150, 0.0)
GFP-3_R1_001	(1, 8.54452900446286e-05)	(2, 0.10725487169278912)	(3, 0.020458231522531616)	(4, 0.0006073188307787448)	(5, 0.11784351494370424)	(6, 0.00019718143856452754)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00027158456804954263)	(15, 0.00012724775502030844)	(20, 0.00016037423669914907)	(25, 0.008808752132139327)	(30, 0.007425590067755354)	(35, 0.025872570916928787)	(40, 0.00018403600932689236)	(45, 0.00015301279632607337)	(50, 0.02629427628687212)	(55, 0.00014381099585972877)	(60, 0.00014065609284269633)	(65, 0.0005431691360990853)	(70, 0.00030891758708442645)	(75, 0.018145687611046835)	(80, 0.00016668404273321395)	(85, 0.00023504027476891682)	(90, 0.00015800805943637472)	(95, 0.009267790521117548)	(100, 0.0004624562005800053)	(105, 0.00011804595455396383)	(110, 7.492894665452046e-05)	(115, 0.00030760304416066296)	(120, 0.0004261748158841322)	(125, 0.0005450094961923542)	(130, 0.0004579867546392093)	(135, 1.2093794898624357e-05)	(140, 0.0006457034841526395)	(145, 0.00015432733924983688)	(150, 0.0)
GFP-3_R2_001	(1, 0.11665122451185073)	(2, 0.1829607132152538)	(3, 0.08890648156289795)	(4, 0.08936920067206269)	(5, 0.08890648156289795)	(6, 0.08952300219414304)	(7, 0.35187947891886573)	(8, 0.08892357062090687)	(9, 0.08890648156289795)	(10, 0.08959977150089082)	(15, 0.0894659510312517)	(20, 0.08969888803734259)	(25, 0.08931530441218839)	(30, 0.08003016192447716)	(35, 0.07097611608276357)	(40, 0.04304760003306864)	(45, 0.043126472608494455)	(50, 0.04302919643213596)	(55, 0.04316669762196161)	(60, 0.043587614266150695)	(65, 0.04294979803954063)	(70, 0.043364930694865154)	(75, 0.02623459603813326)	(80, 0.02622013606597186)	(85, 0.017375102549136663)	(90, 0.009280935950355182)	(95, 0.0002258384743025722)	(100, 0.017628283516253514)	(105, 0.008714893767382612)	(110, 0.0003039223239741251)	(115, 0.017844920190089743)	(120, 0.000764012347291356)	(125, 0.008877634181344535)	(130, 0.0009885362786701648)	(135, 0.00023950972070971278)	(140, 8.097584410383264e-05)	(145, 0.00884792551126748)	(150, 0.0)
GFP_1_R1_001	(1, 6.170942656433862e-05)	(2, 0.1049723919011524)	(3, 0.01962476197626278)	(4, 0.0006578457737519117)	(5, 0.11826902683256273)	(6, 0.0002154008285736348)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00020422327206386784)	(15, 8.033868741395028e-05)	(20, 0.00012295312160743696)	(25, 0.008278377790046181)	(30, 0.006889100662186392)	(35, 0.024171698818131748)	(40, 0.00014134951669642846)	(45, 0.00010362526347596487)	(50, 0.024652100882291108)	(55, 0.0001068853841246469)	(60, 8.70917944719345e-05)	(65, 0.0004422120794176568)	(70, 0.0002461391089754941)	(75, 0.01810577861973757)	(80, 0.00011247416237953039)	(85, 0.00017837517263503164)	(90, 0.00011503568574635198)	(95, 0.009274344648218543)	(100, 0.00035698321103068344)	(105, 6.473668145240052e-05)	(110, 4.214870267224638e-05)	(115, 0.0001776765753531712)	(120, 0.0002915479322964225)	(125, 0.000461772803309749)	(130, 0.00035209303005766035)	(135, 1.2341885312867725e-05)	(140, 0.00042800726801982785)	(145, 0.00011876153791627432)	(150, 2.3286576062014575e-06)
GFP_1_R2_001	(1, 0.10937937642088866)	(2, 0.17553071736905657)	(3, 0.08332984810911605)	(4, 0.08380140127437186)	(5, 0.08332984810911605)	(6, 0.08365353151637805)	(7, 0.35191023043557357)	(8, 0.08334032706834396)	(9, 0.08332984810911605)	(10, 0.08387312392864285)	(15, 0.08371593954022424)	(20, 0.08392109427533061)	(25, 0.08366261328104224)	(30, 0.07485749314047328)	(35, 0.06627010248608417)	(40, 0.03988990479423096)	(45, 0.03993694367787624)	(50, 0.039892233451837164)	(55, 0.03998700981640956)	(60, 0.040390566179564276)	(65, 0.03983378414592151)	(70, 0.04018378138413359)	(75, 0.024206395816464152)	(80, 0.0242543661631519)	(85, 0.016044683772488664)	(90, 0.008487724108843691)	(95, 0.000124583181931778)	(100, 0.01626264612442912)	(105, 0.00806926433700929)	(110, 0.00019537437316030225)	(115, 0.01647199244322663)	(120, 0.0005502617923454044)	(125, 0.0081803413048251)	(130, 0.0007416774475751642)	(135, 0.00015043128136061414)	(140, 5.216193037891264e-05)	(145, 0.008142151320083396)	(150, 0.0)
GFP_2_R1_001	(1, 6.823070292931906e-05)	(2, 0.10622309901365587)	(3, 0.02029863412147242)	(4, 0.0006514931634541432)	(5, 0.11518993397281863)	(6, 0.00021019458483064417)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0002308838947511474)	(15, 8.077634830664546e-05)	(20, 0.00011973387868886958)	(25, 0.008508368655286086)	(30, 0.0072667899610141876)	(35, 0.024873832901445823)	(40, 0.0001459256646520598)	(45, 0.00011379120456276759)	(50, 0.025133989968744067)	(55, 0.00010366664864422348)	(60, 0.00010278625247739354)	(65, 0.0004454804604159412)	(70, 0.00025531488838067775)	(75, 0.01758921491805333)	(80, 0.000108949025645203)	(85, 0.00017960081803330435)	(90, 0.00011203041222910774)	(95, 0.00894922703582617)	(100, 0.0003728477766524725)	(105, 8.077634830664546e-05)	(110, 5.2163472884672957e-05)	(115, 0.00021063478291405917)	(120, 0.0003123205401829153)	(125, 0.00045758590770985264)	(130, 0.0003772497574866221)	(135, 1.2105447293911447e-05)	(140, 0.0004690310578786417)	(145, 0.00012655694898180148)	(150, 0.0)
GFP_2_R2_001	(1, 0.1110410670366326)	(2, 0.17694422259989506)	(3, 0.08491531078595464)	(4, 0.08531258955623663)	(5, 0.08491531078595464)	(6, 0.08534450391728422)	(7, 0.34528147217381905)	(8, 0.08493291870929123)	(9, 0.08491531078595464)	(10, 0.08546027601322237)	(15, 0.08534340342207569)	(20, 0.08552542532956778)	(25, 0.08524347845714049)	(30, 0.0763290270699041)	(35, 0.06762102858378932)	(40, 0.04086138709299381)	(45, 0.040904086307085065)	(50, 0.04085258313132552)	(55, 0.04096835522726365)	(60, 0.04132447547674636)	(65, 0.040788974508272055)	(70, 0.04114069277692061)	(75, 0.024805382099474797)	(80, 0.024836636163397256)	(85, 0.01645064257530053)	(90, 0.008691270958945002)	(95, 0.0001630933899052433)	(100, 0.016651593000379463)	(105, 0.008266259709407857)	(110, 0.00021987894266577333)	(115, 0.01691395105809478)	(120, 0.0005874443423172663)	(125, 0.008390615667972584)	(130, 0.0007868540741042439)	(135, 0.00017387824294890986)	(140, 5.370416617662532e-05)	(145, 0.008352758632798897)	(150, 0.0)
