Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
GFP-1_R1_001	(1, 37.79791250283281)	(2, 38.69052771479794)	(3, 39.10773462226705)	(4, 38.927875489285896)	(5, 38.812971512413746)	(6, 38.84741012289817)	(7, 38.80925406669778)	(8, 38.80657736792576)	(9, 38.80965417664768)	(10, 38.9456845969266)	(15, 39.24404183144636)	(20, 39.351428123794044)	(25, 39.11190008307719)	(30, 39.013479592902215)	(35, 39.01524291298673)	(40, 39.01230941916852)	(45, 38.99325987287951)	(50, 38.96322259759148)	(55, 38.9746648712406)	(60, 38.963524056290545)	(65, 38.935078697915266)	(70, 38.88849807545763)	(75, 38.82941496948667)	(80, 38.75630328492551)	(85, 38.512158713105556)	(90, 38.23031822782822)	(95, 37.601489069420914)	(100, 36.95903644898717)	(105, 36.13740411868739)	(110, 35.39010855642882)	(115, 34.937632527397355)	(120, 34.560644857453084)	(125, 34.49982993813502)	(130, 34.46029962930565)	(135, 34.52608508691342)	(140, 34.66421521118271)	(145, 34.830364260731784)	(150, 34.9827578273401)
GFP-1_R2_001	(1, 38.330946769774656)	(2, 39.09909148354957)	(3, 39.243421821701396)	(4, 39.16995945061937)	(5, 39.28606256972583)	(6, 39.351697088404876)	(7, 39.194148497936666)	(8, 39.338907239228305)	(9, 39.334746323957816)	(10, 39.40871706893917)	(15, 39.4353960660031)	(20, 39.462589696398005)	(25, 39.30378417107101)	(30, 39.25776365597009)	(35, 39.25848321582772)	(40, 39.264076833033116)	(45, 39.252069808684006)	(50, 39.239091808630164)	(55, 39.21767119987995)	(60, 39.18837730661686)	(65, 39.15660165116727)	(70, 39.12480249490513)	(75, 39.09845694763846)	(80, 39.054167118814355)	(85, 39.0155314522934)	(90, 38.970184170735685)	(95, 38.86480427306808)	(100, 38.80239765573107)	(105, 38.57481489733554)	(110, 38.44640947078089)	(115, 38.337458329836466)	(120, 38.15339712023297)	(125, 38.36957510568147)	(130, 38.237611820973925)	(135, 38.438667350236344)	(140, 38.363102122161564)	(145, 38.42715881230638)	(150, 38.393967603156504)
GFP-2_R1_001	(1, 37.88726595314446)	(2, 38.7796478113797)	(3, 39.19418124603636)	(4, 39.05734102771704)	(5, 38.932615412811764)	(6, 38.94711439316443)	(7, 38.90858704635923)	(8, 38.90769282797258)	(9, 38.91965926071175)	(10, 39.043042852524074)	(15, 39.324166175965026)	(20, 39.42313768505748)	(25, 39.224418381954436)	(30, 39.13530997753086)	(35, 39.13199850821272)	(40, 39.12713241333328)	(45, 39.1034412254067)	(50, 39.07375843533704)	(55, 39.083811974098786)	(60, 39.07290941208761)	(65, 39.04124291337486)	(70, 38.98858509804251)	(75, 38.92217644981413)	(80, 38.83114372387087)	(85, 38.66204481275916)	(90, 38.38408231845024)	(95, 38.04783228030432)	(100, 37.63688123927822)	(105, 37.192567475460585)	(110, 36.82920951550225)	(115, 36.52879105990267)	(120, 36.28987032787923)	(125, 36.18828481251793)	(130, 36.08898561997218)	(135, 36.049174224161604)	(140, 36.045591795315204)	(145, 36.05744823135728)	(150, 36.098221750510845)
GFP-2_R2_001	(1, 38.734214306893314)	(2, 39.25163147589294)	(3, 39.41389185695503)	(4, 39.33044757811433)	(5, 39.4548781722641)	(6, 39.511632779099365)	(7, 39.3562059670545)	(8, 39.48655575076262)	(9, 39.46855314582443)	(10, 39.529334781570356)	(15, 39.54839749354293)	(20, 39.56895394727987)	(25, 39.46334498181833)	(30, 39.42992201791908)	(35, 39.42740669965856)	(40, 39.42919323477613)	(45, 39.41349827144667)	(50, 39.40034196568011)	(55, 39.37769287628432)	(60, 39.35046496968031)	(65, 39.32076781154522)	(70, 39.29242519133457)	(75, 39.26861519394527)	(80, 39.23027871262706)	(85, 39.19807986476411)	(90, 39.16011528039468)	(95, 39.095978705769866)	(100, 39.03926071461119)	(105, 38.916433942560516)	(110, 38.842126780503584)	(115, 38.75568060164689)	(120, 38.649803216600034)	(125, 38.72328908788679)	(130, 38.63114083397046)	(135, 38.72001279039551)	(140, 38.64953945431042)	(145, 38.66031093413632)	(150, 38.61807127804019)
GFP-3_R1_001	(1, 37.86005744105632)	(2, 38.81443763544804)	(3, 39.24015320261633)	(4, 39.05467795282392)	(5, 38.981404068292136)	(6, 39.042184642039906)	(7, 39.01538857842817)	(8, 39.01860489689061)	(9, 39.025917436266916)	(10, 39.14533325496905)	(15, 39.379084904342484)	(20, 39.46207931849467)	(25, 39.26588851421933)	(30, 39.182673766898596)	(35, 39.18281486993603)	(40, 39.18747129120414)	(45, 39.17564127774676)	(50, 39.15303685509066)	(55, 39.160465242505765)	(60, 39.14249634514344)	(65, 39.11799893861174)	(70, 39.06979657934636)	(75, 39.01729335638288)	(80, 38.93329347989734)	(85, 38.65528938880313)	(90, 38.24431209304955)	(95, 37.438701350426)	(100, 36.589107715737306)	(105, 35.5067916188792)	(110, 34.65151346941806)	(115, 34.0416679662019)	(120, 33.55725074337074)	(125, 33.48729178905335)	(130, 33.403878619365535)	(135, 33.489727600283885)	(140, 33.66751591310077)	(145, 33.90837681041645)	(150, 34.12205417996453)
GFP-3_R2_001	(1, 38.0357249649671)	(2, 39.082932317773555)	(3, 39.202053226658)	(4, 39.17147175266128)	(5, 39.21205263918877)	(6, 39.24970117481621)	(7, 39.1027534166318)	(8, 39.26318948943008)	(9, 39.30033118988784)	(10, 39.36506333750434)	(15, 39.3947136366174)	(20, 39.42326015610276)	(25, 39.24628690722216)	(30, 39.19551162989927)	(35, 39.19746820610335)	(40, 39.204325172225836)	(45, 39.192368668190156)	(50, 39.17913494373342)	(55, 39.15761819492513)	(60, 39.128113210645026)	(65, 39.09553704921579)	(70, 39.06131785110249)	(75, 39.033642005977256)	(80, 38.986598547753445)	(85, 38.944709717307674)	(90, 38.88504029514433)	(95, 38.765934398340086)	(100, 38.68153834490817)	(105, 38.40698157953348)	(110, 38.26009730851411)	(115, 38.10999046706617)	(120, 37.89521510713742)	(125, 38.163191659740455)	(130, 38.01194913733712)	(135, 38.271245668367456)	(140, 38.19358103695064)	(145, 38.29076877086122)	(150, 38.259176728846434)
GFP_1_R1_001	(1, 37.79791250283281)	(2, 38.69052771479794)	(3, 39.10773462226705)	(4, 38.927875489285896)	(5, 38.812971512413746)	(6, 38.84741012289817)	(7, 38.80925406669778)	(8, 38.80657736792576)	(9, 38.80965417664768)	(10, 38.9456845969266)	(15, 39.24404183144636)	(20, 39.351428123794044)	(25, 39.11190008307719)	(30, 39.013479592902215)	(35, 39.01524291298673)	(40, 39.01230941916852)	(45, 38.99325987287951)	(50, 38.96322259759148)	(55, 38.9746648712406)	(60, 38.963524056290545)	(65, 38.935078697915266)	(70, 38.88849807545763)	(75, 38.82941496948667)	(80, 38.75630328492551)	(85, 38.512158713105556)	(90, 38.23031822782822)	(95, 37.601489069420914)	(100, 36.95903644898717)	(105, 36.13740411868739)	(110, 35.39010855642882)	(115, 34.937632527397355)	(120, 34.560644857453084)	(125, 34.49982993813502)	(130, 34.46029962930565)	(135, 34.52608508691342)	(140, 34.66421521118271)	(145, 34.830364260731784)	(150, 34.9827578273401)
GFP_1_R2_001	(1, 38.330946769774656)	(2, 39.09909148354957)	(3, 39.243421821701396)	(4, 39.16995945061937)	(5, 39.28606256972583)	(6, 39.351697088404876)	(7, 39.194148497936666)	(8, 39.338907239228305)	(9, 39.334746323957816)	(10, 39.40871706893917)	(15, 39.4353960660031)	(20, 39.462589696398005)	(25, 39.30378417107101)	(30, 39.25776365597009)	(35, 39.25848321582772)	(40, 39.264076833033116)	(45, 39.252069808684006)	(50, 39.239091808630164)	(55, 39.21767119987995)	(60, 39.18837730661686)	(65, 39.15660165116727)	(70, 39.12480249490513)	(75, 39.09845694763846)	(80, 39.054167118814355)	(85, 39.0155314522934)	(90, 38.970184170735685)	(95, 38.86480427306808)	(100, 38.80239765573107)	(105, 38.57481489733554)	(110, 38.44640947078089)	(115, 38.337458329836466)	(120, 38.15339712023297)	(125, 38.36957510568147)	(130, 38.237611820973925)	(135, 38.438667350236344)	(140, 38.363102122161564)	(145, 38.42715881230638)	(150, 38.393967603156504)
GFP_2_R1_001	(1, 37.88726595314446)	(2, 38.7796478113797)	(3, 39.19418124603636)	(4, 39.05734102771704)	(5, 38.932615412811764)	(6, 38.94711439316443)	(7, 38.90858704635923)	(8, 38.90769282797258)	(9, 38.91965926071175)	(10, 39.043042852524074)	(15, 39.324166175965026)	(20, 39.42313768505748)	(25, 39.224418381954436)	(30, 39.13530997753086)	(35, 39.13199850821272)	(40, 39.12713241333328)	(45, 39.1034412254067)	(50, 39.07375843533704)	(55, 39.083811974098786)	(60, 39.07290941208761)	(65, 39.04124291337486)	(70, 38.98858509804251)	(75, 38.92217644981413)	(80, 38.83114372387087)	(85, 38.66204481275916)	(90, 38.38408231845024)	(95, 38.04783228030432)	(100, 37.63688123927822)	(105, 37.192567475460585)	(110, 36.82920951550225)	(115, 36.52879105990267)	(120, 36.28987032787923)	(125, 36.18828481251793)	(130, 36.08898561997218)	(135, 36.049174224161604)	(140, 36.045591795315204)	(145, 36.05744823135728)	(150, 36.098221750510845)
GFP_2_R2_001	(1, 38.734214306893314)	(2, 39.25163147589294)	(3, 39.41389185695503)	(4, 39.33044757811433)	(5, 39.4548781722641)	(6, 39.511632779099365)	(7, 39.3562059670545)	(8, 39.48655575076262)	(9, 39.46855314582443)	(10, 39.529334781570356)	(15, 39.54839749354293)	(20, 39.56895394727987)	(25, 39.46334498181833)	(30, 39.42992201791908)	(35, 39.42740669965856)	(40, 39.42919323477613)	(45, 39.41349827144667)	(50, 39.40034196568011)	(55, 39.37769287628432)	(60, 39.35046496968031)	(65, 39.32076781154522)	(70, 39.29242519133457)	(75, 39.26861519394527)	(80, 39.23027871262706)	(85, 39.19807986476411)	(90, 39.16011528039468)	(95, 39.095978705769866)	(100, 39.03926071461119)	(105, 38.916433942560516)	(110, 38.842126780503584)	(115, 38.75568060164689)	(120, 38.649803216600034)	(125, 38.72328908788679)	(130, 38.63114083397046)	(135, 38.72001279039551)	(140, 38.64953945431042)	(145, 38.66031093413632)	(150, 38.61807127804019)
