Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
GFP-1_R1_001 - nextera_transposase_sequence	(1, 0.0004925110837116082)	(2, 0.0004983327277271118)	(3, 0.000506483029348817)	(4, 0.0005146333309705221)	(5, 0.0005169619885767235)	(6, 0.000519290646182925)	(7, 0.0005262766190015294)	(8, 0.0005286052766077308)	(9, 0.0005810000727472636)	(10, 0.0006217515808557891)	(12, 0.0006706533905860197)	(14, 0.0007387666255674124)	(16, 0.0008435562178464779)	(18, 0.0009623177557627524)	(20, 0.0012539821209394848)	(22, 0.0015858158298231923)	(24, 0.00210918162681697)	(26, 0.0030266727236603445)	(28, 0.008364538121475635)	(30, 0.029572205105553855)	(32, 0.0761372069279613)	(34, 0.16780597792488477)	(36, 0.31850330841700747)	(38, 0.5134428047693516)	(40, 0.838777230274151)	(42, 1.5659814886623717)	(44, 2.7339674485336394)	(46, 3.8111631234899237)	(48, 4.53684502196809)	(50, 5.223294279261376)	(52, 6.550281562648481)	(54, 8.854690275032162)	(56, 10.69431348332807)	(58, 11.591949863256568)	(60, 12.189327384948246)	(62, 13.062125720684598)	(64, 14.60713124379471)	(66, 16.059530129057)	(68, 16.816280395152702)	(70, 17.274306970538476)	(72, 17.79375829409623)	(74, 18.55473507374719)	(76, 19.394239427358876)	(78, 19.979598164980548)	(80, 20.34679428610763)	(82, 20.683837784220813)	(84, 21.108388160024234)	(86, 21.616769627486505)	(88, 22.042656070591484)	(90, 22.341649885583735)	(92, 22.590083886630143)	(94, 22.866735978384096)	(96, 23.197382654053044)	(98, 23.51047125137123)	(100, 23.761897577441605)	(102, 23.97128755856923)	(104, 24.181498391503048)	(106, 24.41458595676018)	(108, 24.652244094733888)	(110, 24.869337275222833)	(112, 25.06218738353801)	(114, 25.238180339441897)	(116, 25.42533280475911)	(118, 25.6265241646197)	(120, 25.829353152941856)	(122, 26.032727629308262)	(124, 26.21287782120362)	(126, 26.39045251778652)	(128, 26.59639608565697)	(130, 26.85123797027124)	(132, 27.179101900100775)	(134, 27.44585603269957)	(136, 27.67515720068902)	(138, 27.945146420867232)
GFP-1_R1_001 - polya	(1, 1.63006032434102e-05)	(2, 2.4450904865115303e-05)	(3, 0.00022238680139223917)	(4, 0.0004063507522821543)	(5, 0.0024823490082107537)	(6, 0.0028782208012650013)	(7, 0.003574489425519237)	(8, 0.0037281808275285333)	(9, 0.0038609143110820165)	(10, 0.005888010757280385)	(12, 0.009552735665039929)	(14, 0.01420422923342734)	(16, 0.028714676942070173)	(18, 0.05313239843629711)	(20, 0.059900059604320086)	(22, 0.06608439204198961)	(24, 0.07367174068739551)	(26, 0.08969174068925843)	(28, 0.10034360274442544)	(30, 0.1102328294335615)	(32, 0.11893327641473168)	(34, 0.12919741697846615)	(36, 0.1546438229702326)	(38, 0.16811394289330492)	(40, 0.1818215858922098)	(42, 0.19626974200988673)	(44, 0.21093155246293266)	(46, 0.2206164394471245)	(48, 0.22878537032967922)	(50, 0.24108533980563535)	(52, 0.24945104225591408)	(54, 0.2587301606522253)	(56, 0.27319461737314565)	(58, 0.28198297117895)	(60, 0.28821795191955435)	(62, 0.2951916992857262)	(64, 0.30114782327798795)	(66, 0.31214025150806196)	(68, 0.3223508329468538)	(70, 0.328722040157421)	(72, 0.33725889894175554)	(74, 0.34388392983139865)	(76, 0.3494383603865907)	(78, 0.3561798241565439)	(80, 0.365497947567759)	(82, 0.3728582520965603)	(84, 0.37870434701692907)	(86, 0.3883391678625876)	(88, 0.3956074904159439)	(90, 0.4007107435599344)	(92, 0.406046862464545)	(94, 0.41169269283078047)	(96, 0.4168646413741539)	(98, 0.4246196533672063)	(100, 0.43234264631817343)	(102, 0.4382259997602414)	(104, 0.4478200690977914)	(106, 0.45446372924828415)	(108, 0.46081106771838776)	(110, 0.4690772200560014)	(112, 0.48222423873621334)	(114, 0.4922182550176284)	(116, 0.49892653541669324)	(118, 0.5056668348578434)	(120, 0.5139976074440291)	(122, 0.5230322167916892)	(124, 0.5296537546949229)	(126, 0.5442684098314434)	(128, 0.560972453005128)	(130, 0.5707178850870811)	(132, 0.5776852286448358)	(134, 0.5856416695208246)	(136, 0.5931166604367313)	(138, 0.6013746624727232)
GFP-1_R1_001 - polyg	(1, 0.0)	(2, 0.0)	(3, 2.561523366821603e-05)	(4, 7.917435861084955e-05)	(5, 0.0002666312959100669)	(6, 0.0003492986409302186)	(7, 0.0004261443419348667)	(8, 0.0004715531652557951)	(9, 0.000532098263017033)	(10, 0.0006555171161457102)	(12, 0.000867424958310043)	(14, 0.0010310131551456952)	(16, 0.0012324420380821215)	(18, 0.0013966123993193241)	(20, 0.0015922196382402464)	(22, 0.001787826877161169)	(24, 0.001958983211216976)	(26, 0.002166233738168906)	(28, 0.0023990994987890518)	(30, 0.0027105574536184967)	(32, 0.0030336586964789486)	(34, 0.003349191802119246)	(36, 0.0038207449673750412)	(38, 0.0043540075591951746)	(40, 0.004944322262367244)	(42, 0.0056894926963517115)	(44, 0.006292032851956338)	(46, 0.006908544953198174)	(48, 0.007552418781312877)	(50, 0.008063559125874097)	(52, 0.008652127335841515)	(54, 0.009244770696619786)	(56, 0.009826935098170151)	(58, 0.010463240789064698)	(60, 0.011204918236639862)	(62, 0.011891872230469294)	(64, 0.01261957773240725)	(66, 0.013461969621450624)	(68, 0.01439692565034051)	(70, 0.015329553021624195)	(72, 0.016575384840941974)	(74, 0.019578770988540304)	(76, 0.02829784723056011)	(78, 0.04604920416263382)	(80, 0.08001034669147587)	(82, 0.1354580129527388)	(84, 0.20846433972916223)	(86, 0.332444399340934)	(88, 0.5867669933090216)	(90, 0.9572226529203834)	(92, 1.296222805587176)	(94, 1.5415934575526236)	(96, 1.794132299794361)	(98, 2.26789477895404)	(100, 2.9870395533671967)	(102, 3.532013546453319)	(104, 3.8504149761000557)	(106, 4.163443028320482)	(108, 4.706264177449671)	(110, 5.642950981105365)	(112, 6.6279376365000875)	(114, 7.449415851582169)	(116, 8.204335210634998)	(118, 9.076280093358678)	(120, 10.250652396714955)	(122, 11.522756131145897)	(124, 12.737482906488841)	(126, 13.879482211803705)	(128, 14.844695071135366)	(130, 15.75283602552544)	(132, 16.671450699663808)	(134, 17.53316113220823)	(136, 18.345807331154393)	(138, 19.047723532268066)
GFP-1_R2_001 - nextera_transposase_sequence	(1, 0.0005041543717426156)	(2, 0.0005041543717426156)	(3, 0.0005123046733643207)	(4, 0.0005390842358356374)	(5, 0.0005402485646387381)	(6, 0.0005402485646387381)	(7, 0.0005402485646387381)	(8, 0.0005425772222449396)	(9, 0.0005810000727472636)	(10, 0.0006258267316666417)	(12, 0.0006654139109720665)	(14, 0.0007294519951426064)	(16, 0.0008336594230201218)	(18, 0.000961735591361202)	(20, 0.001270282724182895)	(22, 0.0016254030091286172)	(24, 0.0021854451634200677)	(26, 0.003183274947677392)	(28, 0.008641648376613608)	(30, 0.030118275314208097)	(32, 0.07713037939700622)	(34, 0.16983132787787847)	(36, 0.3221756014619871)	(38, 0.5189908315161266)	(40, 0.8474345970896064)	(42, 1.5827291941661725)	(44, 2.7644024212822913)	(46, 3.853841013603179)	(48, 4.587742491266836)	(50, 5.281686533065681)	(52, 6.621971033548597)	(54, 8.949142374032897)	(56, 10.805846868034694)	(58, 11.712130135819422)	(60, 12.315391593117567)	(62, 13.196727951967059)	(64, 14.758538232692322)	(66, 16.22828561712081)	(68, 16.994811005682948)	(70, 17.458365814225843)	(72, 17.98444449733085)	(74, 18.755694732175968)	(76, 19.6063690741602)	(78, 20.199453715554846)	(80, 20.571895137939897)	(82, 20.91417986216024)	(84, 21.345513617570525)	(86, 21.862381877678597)	(88, 22.29558729163987)	(90, 22.59978507421758)	(92, 22.852872897489977)	(94, 23.135220303584298)	(96, 23.471878991028056)	(98, 23.79066348485101)	(100, 24.046674937747994)	(102, 24.260226230017906)	(104, 24.47486849837632)	(106, 24.713242698563935)	(108, 24.956029704915302)	(110, 25.177585175542127)	(112, 25.374891170186775)	(114, 25.55520553244337)	(116, 25.7469850404241)	(118, 25.95330061134714)	(120, 26.16159437690665)	(122, 26.370366099439828)	(124, 26.555302847044736)	(126, 26.73800641200529)	(128, 26.950188453602756)	(130, 27.21315444244066)	(132, 27.552076002913246)	(134, 27.827604517372205)	(136, 28.06496225851471)	(138, 28.34456708811333)
GFP-1_R2_001 - polya	(1, 2.3286576062014575e-06)	(2, 5.821644015503644e-06)	(3, 1.5136274440309473e-05)	(4, 3.1436877683719677e-05)	(5, 0.0001304048259472816)	(6, 0.00035977760015812516)	(7, 0.0004342946435565718)	(8, 0.0005600421542914505)	(9, 0.0006869539938294299)	(10, 0.0023542728398696735)	(12, 0.005706957628398222)	(14, 0.010237361001263157)	(16, 0.02424190784495872)	(18, 0.048171193406284896)	(20, 0.05485036558527223)	(22, 0.06058526710494487)	(24, 0.06755144633389654)	(26, 0.08277970274965096)	(28, 0.09308750564350171)	(30, 0.10300351189510906)	(32, 0.11140530853828393)	(34, 0.12102965042471456)	(36, 0.14438026457089967)	(38, 0.15681005670840148)	(40, 0.16886784579331263)	(42, 0.18146064396324857)	(44, 0.1944487317618372)	(46, 0.20339135913405232)	(48, 0.21087333602277764)	(50, 0.2220817472458268)	(52, 0.229857717157335)	(54, 0.2382333164024401)	(56, 0.2514921106477497)	(58, 0.2597221687924671)	(60, 0.265563024233222)	(62, 0.27196159317066204)	(64, 0.2772761719924153)	(66, 0.2872678596162242)	(68, 0.29668436881130134)	(70, 0.3025898445006282)	(72, 0.31076925434241087)	(74, 0.3169920096305827)	(76, 0.32210515956939956)	(78, 0.32820740682645044)	(80, 0.3371139400057695)	(82, 0.3438146522676142)	(84, 0.3491740577482868)	(86, 0.3583955418688446)	(88, 0.3651620387080645)	(90, 0.37001903631019917)	(92, 0.3750925990697106)	(94, 0.38029365583316155)	(96, 0.38512853118803736)	(98, 0.39247078862039053)	(100, 0.3996628476371437)	(102, 0.4053826128823761)	(104, 0.4136953383721137)	(106, 0.4199140185094747)	(108, 0.42572401923694736)	(110, 0.43327352719625245)	(112, 0.4457405778554535)	(114, 0.455108767405202)	(116, 0.4613879926403242)	(118, 0.46765964973822627)	(120, 0.47540476493645234)	(122, 0.4840085726269652)	(124, 0.4902912908484967)	(126, 0.5034941973112574)	(128, 0.5190647663951236)	(130, 0.5281249909764518)	(132, 0.5344426390620763)	(134, 0.5418174977009164)	(136, 0.5485135526475486)	(138, 0.556330856231567)
GFP-1_R2_001 - polyg	(1, 0.1426873304911912)	(2, 0.1431926491917369)	(3, 0.1446096373451105)	(4, 0.14545028274094923)	(5, 0.14674734502760345)	(6, 0.14827727307487779)	(7, 0.14948817503010256)	(8, 0.1506792833956746)	(9, 0.15166430556309782)	(10, 0.15283562033901715)	(12, 0.1546694382039008)	(14, 0.15569986919464496)	(16, 0.1564322320117953)	(18, 0.15709706375836582)	(20, 0.1578480558363658)	(22, 0.158462821444403)	(24, 0.1590781692168417)	(26, 0.15966382660480138)	(28, 0.16025297697917035)	(30, 0.1608130191334618)	(32, 0.1613911083842013)	(34, 0.16191796716760437)	(36, 0.16248033797950204)	(38, 0.17427498875491243)	(40, 0.17512960609638833)	(42, 0.1761320931958581)	(44, 0.177235294736796)	(46, 0.17800433391124404)	(48, 0.1787017668643014)	(50, 0.17931012866392151)	(52, 0.1801385486073277)	(54, 0.1808598503008486)	(56, 0.18161258887205323)	(58, 0.1823682382652656)	(60, 0.1830458776286702)	(62, 0.1836292063590237)	(64, 0.1842433898026593)	(66, 0.1849437335777244)	(68, 0.18605333892707937)	(70, 0.18678803040183595)	(72, 0.18756289122029948)	(74, 0.1885409274149041)	(76, 0.18951372412989476)	(78, 0.1902134857405583)	(80, 0.19083465515701253)	(82, 0.1915926332078311)	(84, 0.19235061125864966)	(86, 0.1932285151761876)	(88, 0.19419025076754884)	(90, 0.19518808055180614)	(92, 0.19684783126062624)	(94, 0.20000025149502149)	(96, 0.2128195116171605)	(98, 0.24537414495185686)	(100, 0.31430241009542004)	(102, 0.4301618584699658)	(104, 0.6098265252544315)	(106, 0.8466504216407181)	(108, 1.340781668881841)	(110, 2.307339910145486)	(112, 3.5032010658917887)	(114, 4.438455745119669)	(116, 5.11616147526607)	(118, 6.027071203549918)	(120, 7.850070125195153)	(122, 10.146918850660299)	(124, 11.559133838105577)	(126, 12.292083476972696)	(128, 12.993103144907984)	(130, 14.204476653297998)	(132, 15.848773225914531)	(134, 17.005015183313326)	(136, 17.623379731680892)	(138, 18.114221167888857)
GFP-2_R1_001 - nextera_transposase_sequence	(1, 0.0006900104957529524)	(2, 0.0006988144574212517)	(3, 0.0007087189142980883)	(4, 0.0007263268376346867)	(5, 0.0007263268376346867)	(6, 0.0007340303040944485)	(7, 0.0007417337705542103)	(8, 0.0007472362465968974)	(9, 0.000797859026189618)	(10, 0.0008132659591091416)	(12, 0.0008473813105738012)	(14, 0.0008825971572469981)	(16, 0.0009453253841336302)	(18, 0.0010185083155013677)	(20, 0.0011461657596917064)	(22, 0.0017503376291787413)	(24, 0.0020359161357941975)	(26, 0.0025536991314110465)	(28, 0.005444149796634538)	(30, 0.01734325423894522)	(32, 0.042674452949059194)	(34, 0.09364113729444772)	(36, 0.18398574119172165)	(38, 0.30137006261036386)	(40, 0.48615861505671354)	(42, 0.8538181070485364)	(44, 1.3854805482354589)	(46, 1.9088821221394952)	(48, 2.2727333504621745)	(50, 2.620164089778267)	(52, 3.3028172248145427)	(54, 4.449361004610381)	(56, 5.367807893770694)	(58, 5.836832898925689)	(60, 6.1693557798993295)	(62, 6.671363726949399)	(64, 7.550261569552898)	(66, 8.35522374206602)	(68, 8.78407021740492)	(70, 9.062324378159955)	(72, 9.385459484757167)	(74, 9.868614298142178)	(76, 10.381400495264664)	(78, 10.728988055147973)	(80, 10.962459214134391)	(82, 11.192806617471376)	(84, 11.488862388719713)	(86, 11.834158167331243)	(88, 12.10985752845966)	(90, 12.310599959944176)	(92, 12.489750675437188)	(94, 12.699189220059566)	(96, 12.941747167982879)	(98, 13.165756269166295)	(100, 13.342122181534101)	(102, 13.4963411780777)	(104, 13.662889022442542)	(106, 13.854703686547799)	(108, 14.042063546048896)	(110, 14.20587610957292)	(112, 14.353088803371364)	(114, 14.496693523628618)	(116, 14.65651899301211)	(118, 14.829247768715701)	(120, 14.995980496275578)	(122, 15.167172430420447)	(124, 15.322714222204706)	(126, 15.485181430336294)	(128, 15.682745631658552)	(130, 15.933615619891949)	(132, 16.277185271768886)	(134, 16.548905792470833)	(136, 16.7914703433654)	(138, 17.089900983273758)
GFP-2_R1_001 - polya	(1, 2.5311389796360295e-05)	(2, 2.7512380213435104e-05)	(3, 0.00020139062316234496)	(4, 0.00041598718882713875)	(5, 0.002799659810519156)	(6, 0.0033102895872805117)	(7, 0.00418848476369336)	(8, 0.0045263367927143435)	(9, 0.004853183869649952)	(10, 0.008530488608977687)	(12, 0.015152168278747248)	(14, 0.023369566000896045)	(16, 0.04832879733052437)	(18, 0.08488119543448998)	(20, 0.09673517957325062)	(22, 0.10674418349489831)	(24, 0.11988574702764773)	(26, 0.14651387934102303)	(28, 0.16506657781415085)	(30, 0.18210829636595682)	(32, 0.19728412529168765)	(34, 0.2144171849458022)	(36, 0.25820313805548417)	(38, 0.28066314476652404)	(40, 0.30256905214006535)	(42, 0.3256189242828813)	(44, 0.3486798013777826)	(46, 0.36459626357885905)	(48, 0.3781114452349069)	(50, 0.39726336334908335)	(52, 0.4108346702607666)	(54, 0.42548281173400376)	(56, 0.4482146407615524)	(58, 0.46248036014982274)	(60, 0.4729576247827031)	(62, 0.48474612945655576)	(64, 0.49492240864990117)	(66, 0.5130217030971116)	(68, 0.5301707199317499)	(70, 0.5407569335902755)	(72, 0.5545951105900291)	(74, 0.5660331075399626)	(76, 0.575527629951619)	(78, 0.5861380545047323)	(80, 0.6016176201080196)	(82, 0.6133202861556063)	(84, 0.6227647360352743)	(86, 0.6386575375893673)	(88, 0.6506111165445005)	(90, 0.6593980205370674)	(92, 0.6685519396816815)	(94, 0.6779149529159179)	(96, 0.6869137022361281)	(98, 0.6999650251617775)	(100, 0.7134086746292705)	(102, 0.7238182588068257)	(104, 0.7386479819894716)	(106, 0.749496113507629)	(108, 0.760671092102722)	(110, 0.7743381420975481)	(112, 0.7957268167230768)	(114, 0.8113907152737939)	(116, 0.8221018351384884)	(118, 0.8332559043246193)	(120, 0.8462632074419272)	(122, 0.8613730066551457)	(124, 0.8725144201463784)	(126, 0.8948874877359438)	(128, 0.9194208274198682)	(130, 0.9336815945797001)	(132, 0.9444378347479447)	(134, 0.956575746650508)	(136, 0.9675196212518082)	(138, 0.9790632657417614)
GFP-2_R1_001 - polyg	(1, 0.0)	(2, 0.0)	(3, 2.971337063050991e-05)	(4, 8.693912147445493e-05)	(5, 0.0002410084506696915)	(6, 0.00034225400985513267)	(7, 0.00038847480861370365)	(8, 0.0004501025402917983)	(9, 0.0004666099684198593)	(10, 0.0006036216218827661)	(12, 0.0007499874846182409)	(14, 0.0008633384910975935)	(16, 0.0009915461828922012)	(18, 0.0011885348252203966)	(20, 0.0013695662870247993)	(22, 0.0015247361114285735)	(24, 0.001715672030109813)	(26, 0.0018873492826416481)	(28, 0.0020810364393442312)	(30, 0.002290130528966338)	(32, 0.002476664466813428)	(34, 0.002684107813622729)	(36, 0.0030137061285796813)	(38, 0.0033300985010341847)	(40, 0.003720224052460695)	(42, 0.004198389220570197)	(44, 0.004622630123461366)	(46, 0.00499404725634274)	(48, 0.005384723055373518)	(50, 0.005794107272949433)	(52, 0.006245310308449768)	(54, 0.006793356922301395)	(56, 0.00744429983815127)	(58, 0.00806332839295356)	(60, 0.008764894088396155)	(62, 0.009485168202383886)	(64, 0.010320444065663776)	(66, 0.011370866742212729)	(68, 0.012365164163126273)	(70, 0.01329508261434038)	(72, 0.01437136692828996)	(74, 0.015471862136827365)	(76, 0.016983942553357757)	(78, 0.01910239582979226)	(80, 0.022435245568847788)	(82, 0.027871141651418296)	(84, 0.03464634040277882)	(86, 0.04564138803127603)	(88, 0.0663417029038646)	(90, 0.09341003330065487)	(92, 0.1208338236498027)	(94, 0.14300274937818444)	(96, 0.1679614304602085)	(98, 0.21926376584420093)	(100, 0.30041868450258324)	(102, 0.37313225466387945)	(104, 0.44094862114718414)	(106, 0.5407547325998584)	(108, 0.7076255723084064)	(110, 0.9648052498199506)	(112, 1.3182931147638333)	(114, 1.7645378691021036)	(116, 2.2395996407235303)	(118, 2.7152727374332994)	(120, 3.201511138392632)	(122, 3.793347557087171)	(124, 4.606353249079493)	(126, 5.485026040412848)	(128, 6.144693132028403)	(130, 6.6408513967974905)	(132, 7.140719981162164)	(134, 7.7719530278271325)	(136, 8.469900295024058)	(138, 9.042923748128649)
GFP-2_R2_001 - nextera_transposase_sequence	(1, 0.0007021159430468638)	(2, 0.0007109199047151631)	(3, 0.0007340303040944485)	(4, 0.0007428342657627478)	(5, 0.0007428342657627478)	(6, 0.000751638227431047)	(7, 0.000751638227431047)	(8, 0.0007527387226395844)	(9, 0.0008055624926493799)	(10, 0.0008435295773439203)	(12, 0.0008688409671402806)	(14, 0.000906808051834821)	(16, 0.0009552298410104668)	(18, 0.0010311640103995478)	(20, 0.0011918363108460086)	(22, 0.001826271798567822)	(24, 0.0021377119425839077)	(26, 0.002685208308831266)	(28, 0.005653794133860914)	(30, 0.017743284247248567)	(32, 0.04343214390013719)	(34, 0.09495347783062857)	(36, 0.18624890958807883)	(38, 0.3046495383318053)	(40, 0.4914178816583138)	(42, 0.8633704054586411)	(44, 1.4015962000692805)	(46, 1.9315066528842113)	(48, 2.299727397432388)	(50, 2.6510500380534734)	(52, 3.3413444615702286)	(54, 4.500526878588515)	(56, 5.428125485903025)	(58, 5.9023943507267)	(60, 6.2386979829892715)	(62, 6.7465600143011555)	(64, 7.635474014045158)	(66, 8.45073021873894)	(68, 8.885337236246926)	(70, 9.167138293059079)	(72, 9.49463411192012)	(74, 9.98449699384877)	(76, 10.504479329139881)	(78, 10.85713797094413)	(80, 11.0941087046937)	(82, 11.327976041955193)	(84, 11.62884262800765)	(86, 11.980213690417909)	(88, 12.260894993355375)	(90, 12.465294370417862)	(92, 12.647711905937417)	(94, 12.86125254644962)	(96, 13.108685688146753)	(98, 13.33720681968517)	(100, 13.517122379348116)	(102, 13.674782074161206)	(104, 13.845216867602602)	(106, 14.041772465066238)	(108, 14.233691676216306)	(110, 14.401162836061111)	(112, 14.552121065301812)	(114, 14.699496082143515)	(116, 14.863625038039991)	(118, 15.041288434258666)	(120, 15.212619030799813)	(122, 15.388708168622674)	(124, 15.549020056888338)	(126, 15.717065124984396)	(128, 15.921338495345505)	(130, 16.1812314437937)	(132, 16.537675789115315)	(134, 16.819398710767665)	(136, 17.071439075655334)	(138, 17.382230477745992)
