## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=analysis/qc/GFP-1_insert_size_histogram.pdf MINIMUM_PCT=0.5 INPUT=analysis/aligned/GFP-1.dedup.bam OUTPUT=analysis/qc/GFP-1_insert_size_metrics.txt    DEVIATIONS=10.0 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Dec 12 12:06:49 CET 2024

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
208	187	32	123	231605107	234.295763	78.519601	25977969	FR	13	25	39	49	65	81	103	187	345	427	751			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
123	2
124	3
125	2
126	1
127	10
128	16
129	33
130	56
131	89
132	166
133	281
134	486
135	761
136	1136
137	1512
138	2174
139	2875
140	3563
141	4643
142	5524
143	6697
144	8329
145	10254
146	12248
147	14301
148	16208
149	19822
150	108815
151	169933
152	195195
153	198990
154	194352
155	188144
156	179081
157	166351
158	146156
159	123867
160	111957
161	123846
162	153386
163	189120
164	222386
165	251362
166	271285
167	265394
168	231230
169	186303
170	147976
171	135931
172	150621
173	189214
174	241743
175	295123
176	327160
177	330918
178	298685
179	248210
180	199240
181	166642
182	160395
183	184381
184	227822
185	277982
186	318343
187	335364
188	321891
189	280020
190	230487
191	192242
192	176056
193	183792
194	212214
195	251090
196	289729
197	308899
198	307575
199	279034
200	238303
201	203361
202	183194
203	180920
204	195618
205	221890
206	249493
207	265542
208	265537
209	247491
210	220497
211	194687
212	177518
213	171521
214	177815
215	189526
216	204566
217	214075
218	214401
219	205421
220	186268
221	168364
222	154176
223	148132
224	149876
225	156378
226	163117
227	168435
228	167518
229	158000
230	145937
231	132897
232	123550
233	118197
234	118056
235	120804
236	124232
237	125426
238	121726
239	116148
240	107473
241	98305
242	91977
243	87406
244	85517
245	86826
246	88648
247	88663
248	86578
249	82399
250	75774
251	70202
252	64481
253	61047
254	59784
255	59543
256	59143
257	58890
258	57782
259	55570
260	52229
261	48308
262	43711
263	41378
264	39770
265	39046
266	38872
267	38973
268	38451
269	36568
270	34345
271	32850
272	30113
273	28307
274	27071
275	26359
276	26455
277	26661
278	26217
279	25960
280	24578
281	23096
282	21568
283	19856
284	19142
285	19147
286	19297
287	19670
288	20408
289	20609
290	19903
291	18963
292	17827
293	15987
294	15457
295	15222
296	16076
297	17151
298	18693
299	19760
300	20412
301	19524
302	18042
303	16464
304	15226
305	15138
306	15663
307	17332
308	19279
309	21412
310	23137
311	22874
312	21515
313	19853
314	18233
315	17566
316	18015
317	19606
318	22243
319	25163
320	27266
321	28246
322	27245
323	26122
324	24255
325	22871
326	22626
327	24053
328	26931
329	30091
330	32624
331	34365
332	34477
333	32771
334	30798
335	28880
336	28715
337	29671
338	31651
339	34693
340	37699
341	39376
342	39812
343	39048
344	37035
345	35442
346	34738
347	34879
348	36307
349	39195
350	41251
351	43122
352	43493
353	42786
354	41900
355	40163
356	38779
357	38995
358	39724
359	41434
360	43623
361	44704
362	44784
363	44781
364	43859
365	42245
366	41189
367	40618
368	41175
369	42725
370	43104
371	44156
372	44745
373	44052
374	42965
375	41754
376	40140
377	39816
378	40223
379	40722
380	41411
381	42089
382	41993
383	40869
384	40302
385	38861
386	38141
387	37158
388	37196
389	37800
390	37877
391	37727
392	37620
393	37063
394	35897
395	34776
396	34013
397	32320
398	32670
399	32710
400	32593
401	32661
402	32144
403	31239
404	30805
405	29670
406	28982
407	28007
408	27110
409	27366
410	26853
411	26573
412	26298
413	25607
414	24791
415	23911
416	23298
417	22675
418	22094
419	21599
420	21138
421	21068
422	20470
423	19938
424	19455
425	18654
426	18337
427	17712
428	17055
429	16682
430	16301
431	15823
432	15503
433	15111
434	14732
435	14341
436	13381
437	12910
438	12470
439	12180
440	11947
441	11949
442	11308
443	11015
444	10883
445	10329
446	10139
447	9713
448	9360
449	9005
450	8794
451	8531
452	8201
453	7970
454	7832
455	7685
456	7279
457	7159
458	6729
459	6588
460	6372
461	6167
462	6190
463	6143
464	5764
465	5613
466	5508
467	5392
468	5157
469	4991
470	4880
471	4861
472	4741
473	4663
474	4766
475	4528
476	4315
477	4332
478	4213
479	4208
480	4205
481	4050
482	4144
483	4015
484	3953
485	4015
486	4082
487	3950
488	3976
489	3853
