Sample,RawReads,CleanReads,DuplicationRate
GFP_1,85886392,85886392,
GFP_2,90868183,90868183,
GFP_3,76072069,76072069,
YAF_1,90582312,90582312,
YAF_2,132932421,132932421,
YAF_3,94268086,94268086,
