## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=analysis/qc/GFP-3_insert_size_histogram.pdf MINIMUM_PCT=0.5 INPUT=analysis/aligned/GFP-3.dedup.bam OUTPUT=analysis/qc/GFP-3_insert_size_metrics.txt    DEVIATIONS=10.0 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Dec 12 12:06:33 CET 2024

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
202	177	27	123	240989955	221.385349	67.208548	23680370	FR	11	23	33	45	55	71	87	105	309	395	691			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
123	1
124	2
126	1
127	16
128	18
129	35
130	48
131	100
132	179
133	298
134	468
135	753
136	1159
137	1620
138	2256
139	2979
140	3887
141	4933
142	5741
143	7162
144	8683
145	10737
146	13090
147	15058
148	17366
149	21142
150	118360
151	187529
152	213411
153	215977
154	209829
155	201944
156	192426
157	178703
158	156494
159	131325
160	117862
161	130630
162	161959
163	201039
164	235880
165	265828
166	287017
167	281518
168	242514
169	193083
170	151994
171	138936
172	154886
173	197691
174	252928
175	307259
176	342797
177	346097
178	310352
179	254804
180	201597
181	167165
182	162353
183	185823
184	231964
185	283714
186	323803
187	342081
188	326437
189	281522
190	229451
191	190455
192	173891
193	181398
194	209259
195	248552
196	286745
197	307460
198	303710
199	273258
200	230734
201	196142
202	175295
203	174323
204	189303
205	214460
206	241149
207	257149
208	255963
209	236322
210	208676
211	183630
212	166063
213	161143
214	166963
215	177841
216	193132
217	200268
218	200586
219	190069
220	172343
221	154030
222	140941
223	135483
224	137857
225	143308
226	149545
227	153389
228	152060
229	143312
230	132146
231	119241
232	109343
233	105011
234	106067
235	108090
236	110748
237	112040
238	108664
239	102094
240	94135
241	85699
242	79393
243	75873
244	73564
245	75221
246	76442
247	76319
248	74054
249	70575
250	63925
251	58675
252	54169
253	50339
254	49137
255	48721
256	49301
257	48739
258	48045
259	45742
260	42342
261	38898
262	35425
263	33037
264	31633
265	31011
266	31028
267	31103
268	30308
269	29273
270	27493
271	25422
272	23204
273	21607
274	20727
275	20144
276	19767
277	20262
278	20024
279	19881
280	18359
281	17422
282	15749
283	14636
284	13675
285	13940
286	13727
287	14203
288	14834
289	15193
290	14654
291	13684
292	12316
293	11562
294	10898
295	10926
296	11211
297	12165
298	13063
299	14459
300	14427
301	13855
302	12739
303	11562
304	10655
305	10198
306	10911
307	12001
308	13712
309	15396
310	16163
311	16621
312	15348
313	14082
314	12741
315	12350
316	12559
317	13903
318	15801
319	18221
320	19715
321	20530
322	19721
323	18352
324	17083
325	16102
326	16039
327	17088
328	19092
329	21626
330	23497
331	24832
332	24825
333	23644
334	21811
335	20559
336	20026
337	20716
338	22903
339	24829
340	27102
341	28535
342	28743
343	27947
344	26483
345	25203
346	24364
347	24787
348	25889
349	28114
350	29677
351	31223
352	31128
353	30501
354	29606
355	28190
356	27657
357	27573
358	28373
359	29407
360	30976
361	32085
362	32008
363	31495
364	30696
365	29407
366	28903
367	28496
368	28995
369	29655
370	30794
371	31552
372	30954
373	30813
374	30016
375	29071
376	28046
377	28093
378	28103
379	28576
380	28991
381	29089
382	29228
383	28348
384	27866
385	26994
386	26282
387	25722
388	25787
389	25993
390	25752
391	26140
392	26068
393	25730
394	24803
395	23674
396	23039
397	22318
398	22350
399	22501
400	22190
401	22177
402	21787
403	21551
404	20932
405	20078
406	19394
407	18722
408	18339
409	18458
410	18142
411	18011
412	17752
413	17394
414	16663
415	16258
416	15554
417	15116
418	14460
419	14421
420	14290
421	13841
422	13675
423	13364
424	12937
425	12341
426	11762
427	11549
428	11145
429	11000
430	10831
431	10257
432	10261
433	9973
434	9534
435	9217
436	8676
437	8386
438	8074
439	7897
440	7823
441	7552
442	7369
443	7186
444	6938
445	6546
446	6292
447	6158
448	6140
449	5699
450	5544
451	5437
452	5164
453	5146
454	5046
455	4792
456	4523
457	4463
458	4240
459	4096
460	3942
461	3867
462	3741
463	3759
464	3636
465	3481
466	3313
467	3186
468	3152
469	3010
470	2903
471	2977
472	2807

