## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=analysis/qc/YAF-3_insert_size_histogram.pdf MINIMUM_PCT=0.5 INPUT=analysis/aligned/YAF-3.dedup.bam OUTPUT=analysis/qc/YAF-3_insert_size_metrics.txt    DEVIATIONS=10.0 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Dec 12 12:06:52 CET 2024

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
200	177	27	123	212322188	217.3106	62.900918	28810301	FR	11	23	33	45	55	69	87	101	261	371	615			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
123	1
124	1
125	1
126	5
127	14
128	27
129	67
130	92
131	200
132	387
133	629
134	1105
135	1603
136	2389
137	3322
138	4734
139	6217
140	7933
141	9748
142	11785
143	14468
144	17708
145	21353
146	25715
147	29457
148	33453
149	40332
150	163280
151	251220
152	297325
153	312972
154	308808
155	296939
156	277887
157	250355
158	215157
159	175747
160	152550
161	162777
162	201732
163	254110
164	302636
165	345071
166	369194
167	358222
168	309464
169	239654
170	184329
171	163740
172	182249
173	236565
174	308119
175	380768
176	426051
177	427863
178	381622
179	306690
180	240553
181	193339
182	185787
183	216067
184	274531
185	343151
186	394564
187	414018
188	393054
189	333353
190	267718
191	215763
192	195576
193	208001
194	246867
195	299518
196	347528
197	370487
198	364170
199	322115
200	267705
201	223308
202	199472
203	199859
204	220860
205	253679
206	290344
207	310206
208	307973
209	281077
210	244295
211	212048
212	189749
213	184519
214	194265
215	211505
216	230528
217	243173
218	245044
219	230414
220	205308
221	181522
222	164184
223	158431
224	162023
225	172418
226	182210
227	189302
228	189047
229	176783
230	161897
231	145165
232	133061
233	127588
234	127848
235	132998
236	138312
237	141293
238	138853
239	130974
240	121279
241	109658
242	101857
243	96390
244	94311
245	96173
246	99118
247	99779
248	98550
249	95088
250	87290
251	80455
252	74041
253	69857
254	67672
255	67661
256	68535
257	68877
258	68273
259	66470
260	62286
261	57313
262	53264
263	49535
264	48275
265	46826
266	47159
267	47154
268	47320
269	46256
270	43439
271	41068
272	38393
273	35835
274	34289
275	33520
276	33337
277	33753
278	33756
279	33494
280	32010
281	30122
282	28613
283	26912
284	25561
285	25061
286	24791
287	25514
288	25672
289	25927
290	25388
291	24290
292	22416
293	21473
294	20090
295	19610
296	20027
297	20683
298	21863
299	23101
300	23443
301	22554
302	21153
303	19198
304	18111
305	17622
306	17639
307	18809
308	20419
309	22216
310	23014
311	22665
312	21679
313	20038
314	18668
315	17632
316	17740
317	18536
318	20369
319	23075
320	24305
321	24821
322	23919
323	22450
324	21159
325	19654
326	19386
327	19897
328	21518
329	23921
330	25782
331	26953
332	26825
333	25380
334	23636
335	22356
336	21871
337	22264
338	23469
339	25810
340	27704
341	28716
342	28276
343	27394
344	26040
345	24548
346	23742
347	23943
348	25139
349	28227
350	28428
351	30006
352	29441
353	29004
354	27574
355	26139
356	25515
357	25391
358	26208
359	27486
360	28239
361	29021
362	29007
363	28560
364	27975
365	26659
366	25943
367	25228
368	25823
369	26870
370	27382
371	27926
372	27848
373	27579
374	26616
375	25711
376	24790
377	24854
378	24823
379	25163
380	25424
381	26039
382	25944
383	25310
384	24439
385	23611
386	22709
387	22994
388	22877
389	22597
390	23251
391	23209
392	23167
393	22500
394	21939
395	21111
396	20551
397	19974
398	19865
399	19760
400	19956
401	19902
402	19908
403	19094
404	19158
405	18143
406	17305
407	17016
408	16645
409	16516
410	16649
411	16786
412	16402
413	15784
414	15764
415	15141
416	14223
417	14191
418	13877
419	13476
420	13230
421	13293
422	12940
423	12957
424	12531
425	11909
426	11414
427	11027
428	10859
429	10702
430	10555
431	10499
432	10252
433	9838
434	9709
435	9280
436	8908
437	8697
438	8629
439	8034
440	8079
441	8017
442	7800
443	7682
444	7373
445	7371
446	6898
447	6668
448	6407
449	6387
450	6230
451	6037
452	5802
453	5753
454	5557
455	5567
456	5338
457	5149
458	4985
459	4931
460	4702
461	4527
462	4648
463	4488
464	4365
465	4321
466	4155
467	3964
468	3813
469	3796
470	3892

