## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=analysis/qc/YAF-1_insert_size_histogram.pdf MINIMUM_PCT=0.5 INPUT=analysis/aligned/YAF-1.dedup.bam OUTPUT=analysis/qc/YAF-1_insert_size_metrics.txt    DEVIATIONS=10.0 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Dec 12 12:06:22 CET 2024

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
215	187	36	127	212980199	242.954344	81.248844	9405928	FR	15	29	41	57	73	93	117	213	329	395	617			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
127	4
128	4
129	7
130	16
131	31
132	70
133	89
134	158
135	229
136	359
137	460
138	682
139	871
140	1137
141	1389
142	1599
143	2027
144	2502
145	3096
146	3576
147	4093
148	4933
149	5851
150	31944
151	47574
152	57287
153	60480
154	60081
155	57546
156	56557
157	51120
158	45089
159	37266
160	32338
161	35452
162	45277
163	59345
164	70032
165	80768
166	88315
167	86221
168	76311
169	59163
170	45157
171	40141
172	44169
173	58962
174	76491
175	96047
176	108239
177	109943
178	100365
179	80928
180	65403
181	50488
182	48856
183	56429
184	72311
185	92588
186	105182
187	112443
188	108681
189	92149
190	75278
191	60408
192	55393
193	58914
194	70231
195	86280
196	100427
197	106188
198	106418
199	93951
200	79512
201	66050
202	60035
203	60750
204	67797
205	76792
206	88545
207	94395
208	95634
209	86966
210	76925
211	67104
212	60002
213	58765
214	62498
215	67997
216	75623
217	79701
218	80595
219	75545
220	67296
221	59550
222	54230
223	53275
224	54734
225	59438
226	62371
227	66008
228	65658
229	61525
230	56180
231	50262
232	46395
233	45384
234	45464
235	47962
236	50746
237	52059
238	50414
239	47391
240	43919
241	39347
242	37751
243	35456
244	35657
245	35862
246	38156
247	38028
248	37169
249	36402
250	33153
251	30122
252	27704
253	25987
254	26400
255	26417
256	27068
257	27220
258	26972
259	26369
260	24236
261	22388
262	20133
263	19036
264	18310
265	18184
266	19027
267	19085
268	19203
269	18630
270	17926
271	16522
272	15196
273	14167
274	13536
275	13065
276	13396
277	13702
278	13694
279	13856
280	13464
281	12693
282	11478
283	10420
284	9848
285	9928
286	9955
287	10389
288	10640
289	10967
290	10572
291	10146
292	9281
293	8621
294	7933
295	8040
296	8094
297	8670
298	9435
299	10172
