## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=analysis/qc/GFP-2_insert_size_histogram.pdf MINIMUM_PCT=0.5 INPUT=analysis/aligned/GFP-2.dedup.bam OUTPUT=analysis/qc/GFP-2_insert_size_metrics.txt    DEVIATIONS=10.0 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Dec 12 12:06:18 CET 2024

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
207	187	30	125	218920544	228.221724	70.012152	13862800	FR	13	23	35	45	61	75	91	117	301	367	497			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
125	2
126	2
127	2
128	8
129	6
130	20
131	44
132	51
133	108
134	181
135	307
136	455
137	630
138	841
139	1222
140	1437
141	1847
142	2235
143	2768
144	3438
145	4245
146	5271
147	6232
148	7162
149	8909
150	55565
151	87135
152	99769
153	102386
154	100537
155	96688
156	93196
157	86321
158	76879
159	64925
160	58624
161	65037
162	82037
163	103503
164	122114
165	137827
166	148990
167	147313
168	130588
169	102376
170	81021
171	73675
172	81390
173	104204
174	133178
175	164971
176	184223
177	187694
178	170547
179	140447
180	112366
181	91729
182	88813
183	101431
184	126497
185	156837
186	179678
187	190291
188	182752
189	159112
190	130069
191	107158
192	97997
193	102803
194	119677
195	142902
196	165117
197	176394
198	175070
199	157606
200	134851
201	114523
202	102922
203	102763
204	111347
205	125958
206	142502
207	152459
208	152295
209	141223
210	125519
211	110828
212	100069
213	97032
214	101171
215	108290
216	116981
217	122486
218	123462
219	117536
220	105934
221	95549
222	86789
223	83917
224	85393
225	89554
226	94208
227	96340
228	96769
229	90703
230	83278
231	75939
232	69662
233	67416
234	67376
235	69312
236	71695
237	72143
238	70579
239	66979
240	61660
241	55883
242	52013
243	49470
244	48722
245	49588
246	50045
247	50500
248	48949
249	47035
250	42964
251	39377
252	35885
253	34200
254	33705
255	33031
256	33408
257	33366
258	32861
259	31418
260	29136
261	26880
262	24498
263	22793
264	21622
265	21422
266	21518
267	21306
268	21540
269	20244
270	19246
271	17615
272	16086
273	14815
274	14367
275	13712
276	13878
277	13917
278	13902
279	13846
280	13170
281	12125
282	11250
283	10280
284	9625
285	9442
286	9775
287	10178
288	10676
289	10741
290	10267
291	9766
292	8783
293	8137
294	7701
295	7554
296	8086
297	8672
298	9735
299	10374
300	10832
301	10325
302	9287
303	8428
304	7592
305	7471
306	7759
307	8718
308	10138
309	11784
310	12541
311	12585
312	11577
313	10590
314	9663
315	9149
316	9209
317	10385
318	11979
319	13588
320	14896
321	15763
322	15234
323	14226
324	13088
325	12141
326	12050
327	13065
328	14280
329	16277
330	18199
331	19004
332	19186
333	18270
334	16967
335	15490
336	15397
337	15867
338	17324
339	19106
340	20834
341	21581
342	21903
343	21056
344	20365
345	19302
346	18729
347	18860
348	19797
349	21738
350	22528
351	23566
352	23508
353	23071
354	22272
355	21458
356	20592
357	20488
358	21209
359	21911
360	22607
361	23635
362	23425
363	23652
364	22626
365	21828
366	21248
367	20694
368	21178
369	21749
370	22511
371	23010
372	22954
373	22447
374	21554
375	20911
376	19983
377	20056
378	20144
379	20023
380	20707
381	20714
382	20621
383	20203
384	19375
385	18585
386	18064
387	18051
388	17740
389	17595
390	17618
391	17652
392	17719
393	17325
394	16626
395	16044
396	15512
397	15216
398	14715
399	14398
400	14624
401	14687
402	14311
403	13951
404	13393
405	12676
406	12324
407	11986
408	11698
409	11401
410	11411
411	11268
412	11115
413	10652
414	10393
415	9962
416	9539
417	9180
418	9045
419	8635
420	8590
421	8355
422	8157
423	8086
424	7554
425	7226
426	6954
427	6606
428	6262
429	6056
430	6116
431	5861
432	5745
433	5522
434	5486
435	5127
436	4933
437	4703
438	4436
439	4283
440	4034
441	4079
442	3858
443	3834
444	3637
445	3472
446	3332
447	3131
448	3161
449	3005
450	2777
451	2802
452	2669
453	2533
454	2481
455	2270
456	2294
457	2109
458	2053
459	1937
460	1839
461	1876
462	1793
463	1801
464	1661
465	1619
466	1523
467	1505
468	1404
469	1357
470	1367
471	1304
472	1295
473	1284
474	1291
475	1210
476	1143
477	1086
478	1097
479	982
480	1183
481	1071
482	1075
483	1058
484	1021
485	977
486	1068
487	1029
488	1036
489	973
490	859
491	889
492	872
493	858
494	874
495	833
496	802
497	894
498	806
499	872
500	899
501	607
502	621
503	616
504	629
505	670
506	633
507	676

